School,Player,Year,Hometown,UTR,Profile_URL,UTR_URL
UCLA Bruins,Gianluca Ballotta,N/A,"Lima, Peru",12.0,https://uclabruins.com/sports/mens-tennis/roster/gianluca-ballotta/15452,https://app.utrsports.net/profiles/2920230
UCLA Bruins,Cassius Chinlund,N/A,Skip Ad,13.0,https://uclabruins.com/sports/mens-tennis/roster/cassius-chinlund/15453,https://app.utrsports.net/profiles/5329395
UCLA Bruins,Andrei Crabel,So,"Beverly Hills, Calif.",11.0,https://uclabruins.com/sports/mens-tennis/roster/andrei-crabel/15454,https://app.utrsports.net/profiles/4270236
UCLA Bruins,Spencer Johnson,N/A,"Ladera Ranch, Calif.",13.71,https://uclabruins.com/sports/mens-tennis/roster/spencer-johnson/15455,https://app.utrsports.net/profiles/2580878
UCLA Bruins,Andy Nguyen,N/A,Skip Ad,13.0,https://uclabruins.com/sports/mens-tennis/roster/andy-nguyen/15460,https://app.utrsports.net/profiles/5802075
UCLA Bruins,Rudy Quan,N/A,"Thousand Oaks, Calif.",13.54,https://uclabruins.com/sports/mens-tennis/roster/rudy-quan/15456,https://app.utrsports.net/profiles/168171
UCLA Bruins,Bengt Reinhard,N/A,Skip Ad,12.36,https://uclabruins.com/sports/mens-tennis/roster/bengt-reinhard/15461,https://app.utrsports.net/profiles/5869735
UCLA Bruins,Will Steinberg,Sr,"Santa Barbara, Calif.",10.0,https://uclabruins.com/sports/mens-tennis/roster/will-steinberg/15874,https://app.utrsports.net/profiles/2518385
UCLA Bruins,Aadarsh Tripathi,N/A,"Pleasanton, Calif.",12.99,https://uclabruins.com/sports/mens-tennis/roster/aadarsh-tripathi/15457,https://app.utrsports.net/profiles/5581068
UCLA Bruins,Emon van Loben Sels,N/A,Skip Ad,13.4,https://uclabruins.com/sports/mens-tennis/roster/emon-van-loben-sels/15458,https://app.utrsports.net/profiles/1633823
UCLA Bruins,Leo von Bismarck,N/A,"Hamburg, Germany",Unrated,https://uclabruins.com/sports/mens-tennis/roster/leo-von-bismarck/15459,https://app.utrsports.net/profiles/5147930
USC Trojans,Andrin Casanova,So,"Lucerne, Switzerland",13.08,https://usctrojans.com/sports/mens-tennis/roster/andrin-casanova/18420,https://app.utrsports.net/profiles/5746919
USC Trojans,Connor Church,N/A,"Vancouver, British Columbia, Canada",Unrated,https://usctrojans.com/sports/mens-tennis/roster/connor-church/17855,https://app.utrsports.net/profiles/4792950
USC Trojans,Branko Djuric,Fr,"Budva, Montenegro",Unrated,https://usctrojans.com/sports/mens-tennis/roster/branko-djuric/18419,https://app.utrsports.net/profiles/5033720
USC Trojans,Max Exsted,N/A,"Savage, Minnesota",13.4,https://usctrojans.com/sports/mens-tennis/roster/max-exsted/18418,https://app.utrsports.net/profiles/4250519
USC Trojans,Niels Hoffmann,N/A,"Newport Beach, Calif.",13.0,https://usctrojans.com/sports/mens-tennis/roster/niels-hoffmann/17856,https://app.utrsports.net/profiles/5870557
USC Trojans,Jack McCarthy,N/A,"Gold Coast, Australia",12.0,https://usctrojans.com/sports/mens-tennis/roster/jack-mccarthy/17861,https://app.utrsports.net/profiles/232214
USC Trojans,Matteo Morazzi,N/A,"Barcelona, Spain",12.0,https://usctrojans.com/sports/mens-tennis/roster/matteo-morazzi/17858,https://app.utrsports.net/profiles/1296450
USC Trojans,Sklar Phillips,Fr,"Naples, Florida",12.0,https://usctrojans.com/sports/mens-tennis/roster/sklar-phillips/18421,https://app.utrsports.net/profiles/909605
