Player,Year,Hometown,UTR,Singles_Record,Doubles_Record,Profile_URL,UTR_URL
David Bakonyi,N/A,N/A,N/A,0-0,0-0,https://fightingillini.com/sports/mens-tennis/roster/david-bakonyi/15307,N/A
Tyler Bowers,N/A,N/A,N/A,0-0,0-0,https://fightingillini.com/sports/mens-tennis/roster/tyler-bowers/15302,N/A
Sasha Colleu,N/A,N/A,N/A,0-0,0-0,https://fightingillini.com/sports/mens-tennis/roster/sasha-colleu/15308,N/A
Gabriel Debru,N/A,N/A,N/A,0-0,0-0,https://fightingillini.com/sports/mens-tennis/roster/gabriel-debru/15309,N/A
Adam Jilly,N/A,N/A,N/A,0-0,0-0,https://fightingillini.com/sports/mens-tennis/roster/adam-jilly/15310,N/A
Hayden Jones,N/A,N/A,N/A,0-0,0-0,https://fightingillini.com/sports/mens-tennis/roster/hayden-jones/15311,N/A
Kenta Miyoshi,N/A,N/A,N/A,0-0,0-0,https://fightingillini.com/sports/mens-tennis/roster/kenta-miyoshi/15303,N/A
William Mroz,N/A,N/A,N/A,0-0,0-0,https://fightingillini.com/sports/mens-tennis/roster/william-mroz/15304,N/A
Zach Viiala,N/A,N/A,N/A,0-0,0-0,https://fightingillini.com/sports/mens-tennis/roster/zach-viiala/15305,N/A
Jeremy Zhang,N/A,N/A,N/A,0-0,0-0,https://fightingillini.com/sports/mens-tennis/roster/jeremy-zhang/15306,N/A
