Player,Year,Hometown,UTR,Singles_Record,Doubles_Record,Profile_URL,UTR_URL
Michael Andre,N/A,N/A,N/A,0-0,0-0,https://iuhoosiers.com/sports/mens-tennis/roster/michael-andre/20370,N/A
Matteo Antonescu,N/A,N/A,N/A,0-0,0-0,https://iuhoosiers.com/sports/mens-tennis/roster/matteo-antonescu/20360,N/A
Aidan Atwood,N/A,N/A,N/A,0-0,0-0,https://iuhoosiers.com/sports/mens-tennis/roster/aidan-atwood/20361,N/A
Aryan Badlani,N/A,N/A,N/A,0-0,0-0,https://iuhoosiers.com/sports/mens-tennis/roster/aryan-badlani/20381,N/A
Luc Boulier,N/A,N/A,N/A,0-0,0-0,https://iuhoosiers.com/sports/mens-tennis/roster/luc-boulier/20373,N/A
Braeden Gelletich,N/A,N/A,N/A,0-0,0-0,https://iuhoosiers.com/sports/mens-tennis/roster/braeden-gelletich/20374,N/A
Sam Landau,N/A,N/A,N/A,0-0,0-0,https://iuhoosiers.com/sports/mens-tennis/roster/sam-landau/20382,N/A
Ben Pomeranets,N/A,N/A,N/A,0-0,0-0,https://iuhoosiers.com/sports/mens-tennis/roster/ben-pomeranets/20364,N/A
Karan Raghavendra,N/A,N/A,N/A,0-0,0-0,https://iuhoosiers.com/sports/mens-tennis/roster/karan-raghavendra/20376,N/A
Sam Scherer,N/A,N/A,N/A,0-0,0-0,https://iuhoosiers.com/sports/mens-tennis/roster/sam-scherer/20377,N/A
Deacon Thomas,N/A,N/A,N/A,0-0,0-0,https://iuhoosiers.com/sports/mens-tennis/roster/deacon-thomas/20367,N/A
Jip Van Assendelft,N/A,N/A,N/A,0-0,0-0,https://iuhoosiers.com/sports/mens-tennis/roster/jip-van-assendelft/20379,N/A
Facundo Yunis,N/A,N/A,N/A,0-0,0-0,https://iuhoosiers.com/sports/mens-tennis/roster/facundo-yunis/20369,N/A
