Player,Year,Hometown,UTR,Singles_Record,Doubles_Record,Profile_URL,UTR_URL
Greyson Casey,N/A,N/A,N/A,0-0,0-0,https://nusports.com/sports/mens-tennis/roster/greyson-casey/12742,N/A
Dylan Charlap,N/A,N/A,N/A,0-0,0-0,https://nusports.com/sports/mens-tennis/roster/dylan-charlap/12748,N/A
Lucas Coriaty,N/A,N/A,N/A,0-0,0-0,https://nusports.com/sports/mens-tennis/roster/lucas-coriaty/12743,N/A
Dylan Fayerman,N/A,N/A,N/A,0-0,0-0,https://nusports.com/sports/mens-tennis/roster/dylan-fayerman/12749,N/A
Jacob Golden,N/A,N/A,N/A,0-0,0-0,https://nusports.com/sports/mens-tennis/roster/jacob-golden/12750,N/A
Cooper Han,N/A,N/A,N/A,0-0,0-0,https://nusports.com/sports/mens-tennis/roster/cooper-han/12751,N/A
Cyrus Mahjoob,N/A,N/A,N/A,0-0,0-0,https://nusports.com/sports/mens-tennis/roster/cyrus-mahjoob/12752,N/A
Owen Megargee,N/A,N/A,N/A,0-0,0-0,https://nusports.com/sports/mens-tennis/roster/owen-megargee/12744,N/A
Chad Miller,N/A,N/A,N/A,0-0,0-0,https://nusports.com/sports/mens-tennis/roster/chad-miller/12745,N/A
Carter Pate,N/A,N/A,N/A,0-0,0-0,https://nusports.com/sports/mens-tennis/roster/carter-pate/12746,N/A
Ethan Schiffman,N/A,N/A,N/A,0-0,0-0,https://nusports.com/sports/mens-tennis/roster/ethan-schiffman/12753,N/A
Vincent Yang,N/A,N/A,N/A,0-0,0-0,https://nusports.com/sports/mens-tennis/roster/vincent-yang/12747,N/A
