Player,Year,Hometown,UTR,Singles_Record,Doubles_Record,Profile_URL,UTR_URL
Gianluca Ballotta,N/A,N/A,N/A,0-0,0-0,https://uclabruins.com/sports/mens-tennis/roster/gianluca-ballotta/15452,N/A
Cassius Chinlund,N/A,N/A,N/A,0-0,0-0,https://uclabruins.com/sports/mens-tennis/roster/cassius-chinlund/15453,N/A
Andrei Crabel,N/A,N/A,N/A,0-0,0-0,https://uclabruins.com/sports/mens-tennis/roster/andrei-crabel/15454,N/A
Spencer Johnson,N/A,N/A,N/A,0-0,0-0,https://uclabruins.com/sports/mens-tennis/roster/spencer-johnson/15455,N/A
Andy Nguyen,N/A,N/A,N/A,0-0,0-0,https://uclabruins.com/sports/mens-tennis/roster/andy-nguyen/15460,N/A
Rudy Quan,N/A,N/A,N/A,0-0,0-0,https://uclabruins.com/sports/mens-tennis/roster/rudy-quan/15456,N/A
Bengt Reinhard,N/A,N/A,N/A,0-0,0-0,https://uclabruins.com/sports/mens-tennis/roster/bengt-reinhard/15461,N/A
Will Steinberg,N/A,N/A,N/A,0-0,0-0,https://uclabruins.com/sports/mens-tennis/roster/will-steinberg/15874,N/A
Aadarsh Tripathi,N/A,N/A,N/A,0-0,0-0,https://uclabruins.com/sports/mens-tennis/roster/aadarsh-tripathi/15457,N/A
Emon Van Loben Sels,N/A,N/A,N/A,0-0,0-0,https://uclabruins.com/sports/mens-tennis/roster/emon-van-loben-sels/15458,N/A
Leo Von Bismarck,N/A,N/A,N/A,0-0,0-0,https://uclabruins.com/sports/mens-tennis/roster/leo-von-bismarck/15459,N/A
