Player,Year,Hometown,UTR,Singles_Record,Doubles_Record,Profile_URL,UTR_URL
Andrin Casanova,N/A,N/A,N/A,0-0,0-0,https://usctrojans.com/sports/mens-tennis/roster/andrin-casanova/18420,N/A
Connor Church,N/A,N/A,N/A,0-0,0-0,https://usctrojans.com/sports/mens-tennis/roster/connor-church/17855,N/A
Branko Djuric,N/A,N/A,N/A,0-0,0-0,https://usctrojans.com/sports/mens-tennis/roster/branko-djuric/18419,N/A
Max Exsted,N/A,N/A,N/A,0-0,0-0,https://usctrojans.com/sports/mens-tennis/roster/max-exsted/18418,N/A
Niels Hoffmann,N/A,N/A,N/A,0-0,0-0,https://usctrojans.com/sports/mens-tennis/roster/niels-hoffmann/17856,N/A
Jack Mccarthy,N/A,N/A,N/A,0-0,0-0,https://usctrojans.com/sports/mens-tennis/roster/jack-mccarthy/17861,N/A
Matteo Morazzi,N/A,N/A,N/A,0-0,0-0,https://usctrojans.com/sports/mens-tennis/roster/matteo-morazzi/17858,N/A
Sklar Phillips,N/A,N/A,N/A,0-0,0-0,https://usctrojans.com/sports/mens-tennis/roster/sklar-phillips/18421,N/A
Pablo Robledo Hoyos,N/A,N/A,N/A,0-0,0-0,https://usctrojans.com/sports/mens-tennis/roster/pablo-robledo-hoyos/17860,N/A
Nathan Trouve,N/A,N/A,N/A,0-0,0-0,https://usctrojans.com/sports/mens-tennis/roster/nathan-trouve/17859,N/A
