School,Player,Year,Hometown,UTR,Profile_URL,UTR_URL,Overall_Record,Conference_Record
Illinois Fighting Illini,David Bakonyi,Fr,"Telki, Pest, Hungary",Unrated,https://fightingillini.com/sports/mens-tennis/roster/david-bakonyi/15307,https://app.utrsports.net/profiles/4635305,0-0,0-0
Illinois Fighting Illini,Tyler Bowers,,Skip Ad,12.45,https://fightingillini.com/sports/mens-tennis/roster/tyler-bowers/15302,https://app.utrsports.net/profiles/4264111,0-0,0-0
Illinois Fighting Illini,Sasha Colleu,Fr,"Miami, Fla.",12.87,https://fightingillini.com/sports/mens-tennis/roster/sasha-colleu/15308,https://app.utrsports.net/profiles/832969,0-1,0-1
Illinois Fighting Illini,Gabriel Debru,,"Grenoble, France",13.0,https://fightingillini.com/sports/mens-tennis/roster/gabriel-debru/15309,https://app.utrsports.net/profiles/4274828,1-0,1-0
Illinois Fighting Illini,Adam Jilly,Fr,"Budapest, Hungary",13.29,https://fightingillini.com/sports/mens-tennis/roster/adam-jilly/15310,https://app.utrsports.net/profiles/5595985,1-0,1-0
Illinois Fighting Illini,Hayden Jones,,"represented australia at the 2022 junior davis cup, leading his home country to a sixth-place finish",Unrated,https://fightingillini.com/sports/mens-tennis/roster/hayden-jones/15311,https://app.utrsports.net/profiles/3882984,0-0,0-0
Illinois Fighting Illini,Kenta Miyoshi,,"Tokyo, Japan",Unrated,https://fightingillini.com/sports/mens-tennis/roster/kenta-miyoshi/15303,https://app.utrsports.net/profiles/802317,0-0,0-0
Illinois Fighting Illini,William Mroz,Sr,"dateteam/schoolposopponent (rank nat/reg)partnerdoubles scorerankings nat/regjanvs arizpepijn bastiaansen / oskar janssonhayden jonesloss 3-6janvs umpierce shaya / nicholas steiglehnerzach viialaloss 3-6janmississippi state3michal novansky / b. hernandez corteszach viiala3-3, unfinishedjanat columbia3t. boosarawongse / aditya govila (37/-)zach viialaloss 2-6janvs kentucky3eli stephenson / mikael arseneaulttyler bowers2-4, unfinished01/30/2026xavier university1max pettingell / nick herdoizazach viialawon 6-4janduke3alexander visser / teddy truwitzach viialaloss 2-602/08/2026at kentucky3martin breysach / charlelie cosnethayden jonesloss 1-6febat notre dame3noah becker / sebastian dominkojeremy zhangloss 2-6febnorth carolina2anthony wright / roan joneskenta miyoshiwon 6-2febuic1henrique sa / eldin nokickenta miyoshiwon 6-1febbaylor2luc koenig / connor van schalkwykkenta miyoshiwon 6-4febillinois state1adrian dibildox / christian capaccityler bowerswon 6-1febtexas christian university2co rolland de ravel / duncan chan (7/-)kenta miyoshi4-5, unfinishedmarniu1federico scotuzzi / lorenzo leti messinahayden jones4-5, unfinishedmaroregon2vlad breazu / declan galligankenta miyoshiwon 7-6 (7-2)marwashington2daniel bien / nikola plavsichayden joneswon 6-2marat nebraska2henry bilicic / nikolay sysoevkenta miyoshi6-5, unfinished03/15/2026at wisconsin2edouard aubert / tomas zlatohlavekkenta miyoshi5-4, unfinishedmarmichigan2bjorn swenson / nicholas steiglehnerkenta miyoshiwon 6-3(41/-)marmichigan state2ozan baris / matthew forbeskenta miyoshiloss 6-7 (2-7)3/27/2026at ohio state1nikita filin / brandon carpico (1/-)kenta miyoshi4-5, unfinished(41/-)marat penn state1michael wright / david lindsaykenta miyoshiwon 6-2(41/-)aprindiana2sam landau / braeden gelletich (68/-)kenta miyoshi2-3, unfinished(52/-)aprpurdue2nour fathalla / stefan simeunovickenta miyoshiwon 6-4(52/-)4/11/2026at ucla2rudy quan / bengt reinhardkenta miyoshi5-4, unfinished(51/-)aprat usc2andrin casanova / jack mccarthykenta miyoshiloss 3-6(51/-)aprnorthwestern1greyson casey / chad millerkenta miyoshiloss 3-6(63/-)aprvs wisconsin3patrik meszaros / matthew fullertontyler bowerswon 6-2aprvs ohio state3bryce nakashima / aidan kim (53/-)tyler bowersloss 6-7 (8-10)mayyale2jason shuler / dylan tsoityler bowerswon 6-1mayvanderbilt men's tennis2pablo martinez gomez / callum markowitztyler bowerswon 6-4mayat ohio state2aidan kim / bryce nakashima (45/-)tyler bowers6-6 (2-1), unfinished",13.0,https://fightingillini.com/sports/mens-tennis/roster/william-mroz/15304,https://app.utrsports.net/profiles/4587231,0-0,0-0
Illinois Fighting Illini,Zach Viiala,,"Perth, Australia",13.0,https://fightingillini.com/sports/mens-tennis/roster/zach-viiala/15305,https://app.utrsports.net/profiles/5733187,0-0,0-0
Illinois Fighting Illini,Jeremy Zhang,,"Sydney, Australia",5.0,https://fightingillini.com/sports/mens-tennis/roster/jeremy-zhang/15306,https://app.utrsports.net/profiles/5065549,0-0,0-0
