Player,Year,Hometown,UTR,Singles_Record,Doubles_Record,Profile_URL,UTR_URL
Jaden Brady,,N/A,,0-0,0-0,https://gopsusports.com/sports/mens-tennis/roster/player/jaden-brady,https://app.utrsports.net/profiles/5760721
Kyle Chesman,,N/A,,0-0,0-0,https://gopsusports.com/sports/mens-tennis/roster/player/kyle-chesman,https://app.utrsports.net/profiles/3135198
Christos Glavas,,N/A,,0-0,0-0,https://gopsusports.com/sports/mens-tennis/roster/player/christos-glavas,https://app.utrsports.net/profiles/1333628
Reiya Hattori,,N/A,,0-0,0-0,https://gopsusports.com/sports/mens-tennis/roster/player/reiya-hattori,https://app.utrsports.net/profiles/5703534
David Lindsay,,N/A,,0-0,0-0,https://gopsusports.com/sports/mens-tennis/roster/player/david-lindsay,https://app.utrsports.net/profiles/3131745
Emil Matikainen,,N/A,,0-0,0-0,https://gopsusports.com/sports/mens-tennis/roster/player/emil-matikainen,https://app.utrsports.net/profiles/473289
Marcus Schoeman,,N/A,,0-0,0-0,https://gopsusports.com/sports/mens-tennis/roster/player/marcus-schoeman,https://app.utrsports.net/profiles/455407
Eyal Shyovitz,,N/A,,0-0,0-0,https://gopsusports.com/sports/mens-tennis/roster/player/eyal-shyovitz,https://app.utrsports.net/profiles/4419075
Michael Wright,,N/A,,0-0,0-0,https://gopsusports.com/sports/mens-tennis/roster/player/michael-wright-tennis,https://app.utrsports.net/profiles/3396735
Mujtaba Ali-Khan,,N/A,,0-0,0-0,https://purduesports.com/sports/mens-tennis/roster/player/mujtaba-ali-khan,https://app.utrsports.net/profiles/4246173
Charlie Coleman,,N/A,,0-0,0-0,https://purduesports.com/sports/mens-tennis/roster/player/charlie-coleman,https://app.utrsports.net/profiles/5547197
Nour Fathalla,,N/A,,0-0,0-0,https://purduesports.com/sports/mens-tennis/roster/player/nour-fathalla,https://app.utrsports.net/profiles/4093994
Nikola Jovic,,N/A,,0-0,0-0,https://purduesports.com/sports/mens-tennis/roster/player/nikola-jovic,https://app.utrsports.net/profiles/4793106
Jacob Lee,,N/A,,0-0,0-0,https://purduesports.com/sports/mens-tennis/roster/player/jacob-lee,https://app.utrsports.net/profiles/3073765
Maj Premzl,,N/A,,0-0,0-0,https://purduesports.com/sports/mens-tennis/roster/player/maj-premzl,https://app.utrsports.net/profiles/5596371
Stefan Simeunovic,,N/A,,0-0,0-0,https://purduesports.com/sports/mens-tennis/roster/player/stefan-simeunovic,https://app.utrsports.net/profiles/5596373
Juan David Velasquez,,N/A,,0-0,0-0,https://purduesports.com/sports/mens-tennis/roster/player/juan-david-velasquez,https://app.utrsports.net/profiles/4319924
Henrik Villanger,,N/A,,0-0,0-0,https://purduesports.com/sports/mens-tennis/roster/player/henrik-villanger,https://app.utrsports.net/profiles/5069645
Leo Linquet,,N/A,,0-0,0-0,https://huskers.com/sports/mens-tennis/roster/player/leo-linquet,https://app.utrsports.net/profiles/5302481
Colson Wells,,N/A,,0-0,0-0,https://huskers.com/sports/mens-tennis/roster/player/colson-wells,https://app.utrsports.net/profiles/4668668
Nikolay Sysoev,,N/A,,0-0,0-0,https://huskers.com/sports/mens-tennis/roster/player/nikolay-sysoev,https://app.utrsports.net/profiles/937674
Joan Torres Espinosa,,N/A,,0-0,0-0,https://huskers.com/sports/mens-tennis/roster/player/joan-torres-espinosa,https://app.utrsports.net/profiles/2674134
Henry Lamchinniah,,N/A,,0-0,0-0,https://huskers.com/sports/mens-tennis/roster/player/henry-lamchinniah,https://app.utrsports.net/profiles/4836817
Jeri Lassila,,N/A,,0-0,0-0,https://huskers.com/sports/mens-tennis/roster/player/jeri-lassila,https://app.utrsports.net/profiles/1234840
Matt Shearer,,N/A,,0-0,0-0,https://huskers.com/sports/mens-tennis/roster/player/matt-shearer,https://app.utrsports.net/profiles/3573770
Henry Bilicic,,N/A,,0-0,0-0,https://huskers.com/sports/mens-tennis/roster/player/henry-bilicic,https://app.utrsports.net/profiles/3929117
Niels Van Der Sijs,,N/A,,0-0,0-0,https://huskers.com/sports/mens-tennis/roster/player/niels-van-der-sijs,https://app.utrsports.net/profiles/2096615
