School,Player,Year,Hometown,UTR,Profile_URL,UTR_URL,Overall_Record,Conference_Record
USC Trojans,Andrin Casanova,So,"Lucerne, Switzerland",13.08,https://usctrojans.com/sports/mens-tennis/roster/andrin-casanova/18420,https://app.utrsports.net/profiles/5746919,1-1,1-1
USC Trojans,Connor Church,,"Vancouver, British Columbia, Canada",Unrated,https://usctrojans.com/sports/mens-tennis/roster/connor-church/17855,https://app.utrsports.net/profiles/4792950,1-0,1-0
USC Trojans,Branko Djuric,Fr,"Budva, Montenegro",Unrated,https://usctrojans.com/sports/mens-tennis/roster/branko-djuric/18419,https://app.utrsports.net/profiles/5033720,0-3,0-3
USC Trojans,Max Exsted,,"Savage, Minnesota",13.4,https://usctrojans.com/sports/mens-tennis/roster/max-exsted/18418,https://app.utrsports.net/profiles/4250519,0-0,0-0
USC Trojans,Niels Hoffmann,,"Newport Beach, Calif.",13.0,https://usctrojans.com/sports/mens-tennis/roster/niels-hoffmann/17856,https://app.utrsports.net/profiles/5870557,1-1,1-1
USC Trojans,Jack McCarthy,,"Gold Coast, Australia",12.0,https://usctrojans.com/sports/mens-tennis/roster/jack-mccarthy/17861,https://app.utrsports.net/profiles/232214,0-4,0-3
USC Trojans,Matteo Morazzi,,"Barcelona, Spain",12.0,https://usctrojans.com/sports/mens-tennis/roster/matteo-morazzi/17858,https://app.utrsports.net/profiles/1296450,0-0,0-0
USC Trojans,Sklar Phillips,Fr,"Naples, Florida",12.0,https://usctrojans.com/sports/mens-tennis/roster/sklar-phillips/18421,https://app.utrsports.net/profiles/909605,0-0,0-0
USC Trojans,Pablo Robledo Hoyos,Fr,"Bogota, Colombia",11.85,https://usctrojans.com/sports/mens-tennis/roster/pablo-robledo-hoyos/17860,https://app.utrsports.net/profiles/5891759,0-0,0-0
USC Trojans,Nathan Trouve,,"Grenoble, France",Unrated,https://usctrojans.com/sports/mens-tennis/roster/nathan-trouve/17859,https://app.utrsports.net/profiles/4664723,1-1,1-1
