Serve State,Stroke,Result,Hit Side,Hit Zone,Hit (x),Hit (y),Bounce (x),Bounce (y),Point Winner,shotContactX,shotContactY,shotLocationX,shotLocationY,return_zone_original,return_zone,return_contact
first,Backhand,host,far,ad,181.0656332020062,609.1828849515663,116.41932414692148,-215.9760662728543,host,-181.0656332020062,-609.1828849515663,-116.41932414692148,215.9760662728543,Down the Line,Down the Line,deep
first,Forehand,host,far,ad,87.54244860012976,514.6878608921226,-79.17946194221632,-143.47263232713496,host,-87.54244860012976,-514.6878608921226,79.17946194221632,143.47263232713496,Cross Court,Cross Court,deep
first,Backhand,guest,near,ad,-181.0656332020062,-420.6802493436147,-59.24496391073055,189.8367618109255,guest,-181.0656332020062,-420.6802493436147,-59.24496391073055,189.8367618109255,Down the Line,Down the Line,inside
first,Backhand,Net,far,ad,177.32766841635635,523.0608377075163,125.81891404192976,195.0547626858135,guest,-177.32766841635635,-523.0608377075163,-125.81891404192976,0.0,Down the Line,Down the Line,deep
first,Backhand,Net,far,ad,187.94341644784691,627.12497812741,106.08261154850163,202.87674978117255,guest,-187.94341644784691,-627.12497812741,-106.08261154850163,0.0,Down the Line,Down the Line,deep
first,Forehand,guest,near,ad,-56.6671205161562,-470.6190562114804,58.881758530153306,348.1463856078692,guest,-56.6671205161562,-470.6190562114804,58.881758530153306,348.1463856078692,Cross Court,Cross Court,mid
first,Backhand,Out,far,ad,195.86786964119364,590.0446522306662,-143.15145450561283,-530.4446741029631,guest,-195.86786964119364,-590.0446522306662,143.15145450561283,530.4446741029631,Cross Court,Cross Court,deep
first,Forehand,Net,far,ad,9.784038713905707,598.41762904606,17.916333114601418,225.4897200348791,guest,-9.784038713905707,-598.41762904606,-17.916333114601418,0.0,Middle,Middle,deep
first,Backhand,Net,near,ad,-181.81321084855,-498.42931977227096,63.17113407695774,-271.54208770764626,guest,-181.81321084855,-498.42931977227096,63.17113407695774,0.0,Cross Court,Cross Court,mid
first,Backhand,host,near,ad,-186.14920713026254,-488.2621336392928,36.09631452316596,193.55455489928752,host,-186.14920713026254,-488.2621336392928,36.09631452316596,193.55455489928752,Middle,Middle,mid
first,Backhand,Out,near,ad,-153.03110783019216,-407.8217300960273,-39.149857830250994,456.03093831997444,guest,-153.03110783019216,-407.8217300960273,-39.149857830250994,456.03093831997444,Middle,Middle,inside
first,Backhand,guest,near,ad,-165.9643810147874,-475.1045986436741,48.99536854765623,330.582081145936,guest,-165.9643810147874,-475.1045986436741,48.99536854765623,330.582081145936,Middle,Middle,mid
first,Backhand,host,far,ad,152.28353018364837,521.2666283899318,1.2313156167972643,-208.94020122473896,host,-152.28353018364837,-521.2666283899318,-1.2313156167972643,208.94020122473896,Middle,Middle,deep
first,Forehand,guest,far,ad,67.84354221343827,518.2762795272913,-61.16142825893603,-443.7225667101819,guest,-67.84354221343827,-518.2762795272913,61.16142825893603,443.7225667101819,Cross Court,Cross Court,deep
first,Forehand,guest,far,ad,61.15262467188442,554.1604658789788,-15.557201443561517,-193.97525153095842,guest,-61.15262467188442,-554.1604658789788,15.557201443561517,193.97525153095842,Middle,Middle,deep
first,Backhand,host,far,ad,147.27467191593442,500.3341863514475,-26.90647965877875,-309.63693132092493,host,-147.27467191593442,-500.3341863514475,26.90647965877875,309.63693132092493,Middle,Middle,mid
