Serve State,Stroke,Result,Hit Side,Hit Zone,Hit (x),Hit (y),Bounce (x),Bounce (y),Point Winner,shotContactX,shotContactY,shotLocationX,shotLocationY,return_zone_original,return_zone,return_contact
first,Backhand,host,near,deuce,83.80452209094533,-474.8055446191773,-5.989539588798306,349.53138123341523,host,83.80452209094533,-474.8055446191773,-5.989539588798306,349.53138123341523,Middle,Middle,mid
first,Backhand,Net,near,deuce,43.9955052493211,-462.24607939608666,-16.297391732275045,-67.45078740153996,guest,43.9955052493211,-462.24607939608666,-16.297391732275045,0.0,Middle,Middle,mid
first,Forehand,Out,far,deuce,-153.55442366571245,454.88088363931,223.68012357818716,-224.04015201213272,guest,153.55442366571245,-454.88088363931,-223.68012357818716,224.04015201213272,Cross Court,Cross Court,inside
first,Backhand,guest,far,deuce,-36.18320209971884,442.9194881887475,148.30863407691376,-450.04109251945255,guest,36.18320209971884,-442.9194881887475,-148.30863407691376,450.04109251945255,Cross Court,Cross Court,inside
first,Forehand,guest,near,deuce,176.28107502178122,-434.7348698597929,27.75893482063308,298.7900699910968,guest,176.28107502178122,-434.7348698597929,27.75893482063308,298.7900699910968,Middle,Middle,inside
first,Forehand,guest,near,deuce,171.94507874006865,-381.20764435675846,-117.04483814517138,357.1622539368234,guest,171.94507874006865,-381.20764435675846,-117.04483814517138,357.1622539368234,Cross Court,Cross Court,inside
first,Forehand,host,far,deuce,-180.16850940498128,494.35348862616627,-52.30968941379625,-350.49399606281105,host,180.16850940498128,-494.35348862616627,52.30968941379625,350.49399606281105,Middle,Middle,mid
first,Backhand,host,far,deuce,-29.95956364827849,499.13804680639123,58.905030621141925,-290.08182961489825,host,29.95956364827849,-499.13804680639123,-58.905030621141925,290.08182961489825,Cross Court,Cross Court,mid
first,Backhand,guest,far,deuce,-27.903696412933964,410.62372047222874,-36.15870516183609,-393.1650973313805,guest,27.903696412933964,-410.62372047222874,36.15870516183609,393.1650973313805,Middle,Middle,inside
first,Forehand,Out,near,deuce,177.92577646534988,-425.1657534993429,49.602395013097734,456.12375874867075,host,177.92577646534988,-425.1657534993429,49.602395013097734,456.12375874867075,Middle,Middle,inside
first,Backhand,Net,near,deuce,131.0520341206672,-414.9985673663648,113.70801071735158,-9.438019466311834,guest,131.0520341206672,-414.9985673663648,113.70801071735158,0.0,Down the Line,Down the Line,inside
first,Backhand,Out,near,deuce,45.22904090111399,-405.42945100591476,52.113216316683484,473.2531277337888,guest,45.22904090111399,-405.42945100591476,52.113216316683484,473.2531277337888,Middle,Middle,inside
first,Backhand,guest,near,deuce,40.407086614152355,-497.2331802272147,-36.96897965877355,452.09539041971397,guest,40.407086614152355,-497.2331802272147,-36.96897965877355,452.09539041971397,Middle,Middle,mid
first,Forehand,guest,far,deuce,-169.10423775144372,481.19595363054754,23.63514326332987,-440.4188484249693,guest,169.10423775144372,-481.19595363054754,-23.63514326332987,440.4188484249693,Middle,Middle,mid
first,Backhand,host,near,deuce,26.46457786525317,-502.316754155471,-35.06185476813587,269.8605643043225,host,26.46457786525317,-502.316754155471,-35.06185476813587,269.8605643043225,Middle,Middle,mid
first,Forehand,guest,near,deuce,148.4708114609907,-227.8027668415271,108.99820647413442,148.45240048111316,guest,148.4708114609907,-227.8027668415271,108.99820647413442,148.45240048111316,Down the Line,Down the Line,inside
first,Backhand,guest,near,deuce,21.47443678914026,-506.50324256316793,-61.18845144353794,131.34844706904846,guest,21.47443678914026,-506.50324256316793,-61.18845144353794,131.34844706904846,Cross Court,Cross Court,mid
first,Backhand,host,near,deuce,44.145013123336774,-456.86345144333353,55.04132764651575,342.38834208206276,host,44.145013123336774,-456.86345144333353,55.04132764651575,342.38834208206276,Down the Line,Down the Line,mid
first,Backhand,guest,near,deuce,54.49910323706721,-492.14956802249293,16.73232720909022,175.1874015747127,guest,54.49910323706721,-492.14956802249293,16.73232720909022,175.1874015747127,Middle,Middle,mid
first,Backhand,guest,far,deuce,-32.44527559053442,502.72646544156,-60.832556867860085,-244.5798392387188,guest,32.44527559053442,-502.72646544156,60.832556867860085,244.5798392387188,Down the Line,Down the Line,mid
first,Backhand,guest,far,deuce,-66.08669072612508,478.803674540435,107.23882874010208,-201.20261373567908,guest,66.08669072612508,-478.803674540435,-107.23882874010208,201.20261373567908,Cross Court,Cross Court,mid
first,Backhand,guest,near,deuce,31.23045713034257,-493.64476159204594,-55.55465332455573,247.54266732270676,guest,31.23045713034257,-493.64476159204594,-55.55465332455573,247.54266732270676,Cross Court,Cross Court,mid
first,Backhand,guest,near,deuce,48.069843613273505,-447.89240485541166,-3.147665135606423,279.3424486000306,guest,48.069843613273505,-447.89240485541166,-3.147665135606423,279.3424486000306,Middle,Middle,inside
first,Forehand,guest,near,deuce,168.84349846885416,-513.6193350828493,8.880063429566716,340.9325349954494,guest,168.84349846885416,-513.6193350828493,8.880063429566716,340.9325349954494,Middle,Middle,deep
first,Backhand,host,near,deuce,54.097085520531984,-483.0543143042124,-35.66796259840677,267.47463910747337,host,54.097085520531984,-483.0543143042124,-35.66796259840677,267.47463910747337,Middle,Middle,mid
first,Backhand,Net,near,deuce,77.81651356076469,-490.4838145229312,32.361143919493344,-20.408552055982423,guest,77.81651356076469,-490.4838145229312,32.361143919493344,0.0,Middle,Middle,mid
first,Backhand,guest,far,deuce,-59.08144685036318,553.4961778212364,-33.19752296586211,-325.5045931756849,guest,59.08144685036318,-553.4961778212364,33.19752296586211,325.5045931756849,Middle,Middle,deep
first,Forehand,host,far,deuce,-191.33371609788892,548.435722878107,-47.11584098860208,-418.3375382762493,host,191.33371609788892,-548.435722878107,47.11584098860208,418.3375382762493,Middle,Middle,deep
first,Backhand,guest,far,deuce,-61.21742672787738,520.5328302709471,-30.04384842518133,-283.47171369189203,guest,61.21742672787738,-520.5328302709471,30.04384842518133,283.47171369189203,Middle,Middle,deep
first,Backhand,Out,near,deuce,34.015069991233524,-449.77981736634683,202.89550524923902,183.6382709972805,guest,34.015069991233524,-449.77981736634683,202.89550524923902,183.6382709972805,Down the Line,Down the Line,inside
first,Forehand,guest,near,deuce,184.21907808389432,-486.791475284088,23.28020559928806,299.68631342941654,guest,184.21907808389432,-486.791475284088,23.28020559928806,299.68631342941654,Middle,Middle,mid
first,Backhand,guest,far,deuce,-60.688331146075384,518.1685312770727,-30.23496281713224,-33.60470800523201,guest,60.688331146075384,-518.1685312770727,30.23496281713224,33.60470800523201,Middle,Middle,deep
first,Backhand,guest,far,deuce,-31.6427329396162,529.9076935692801,91.64204943127373,-256.4127788712586,guest,31.6427329396162,-529.9076935692801,-91.64204943127373,256.4127788712586,Cross Court,Cross Court,deep
first,Forehand,host,near,deuce,183.1492125983306,-472.19501312311564,-47.89331255465592,349.8053258965822,host,183.1492125983306,-472.19501312311564,-47.89331255465592,349.8053258965822,Middle,Middle,mid
first,Backhand,guest,near,deuce,70.32768482061108,-504.6502788711304,-37.965162948361844,284.097227690142,guest,70.32768482061108,-504.6502788711304,-37.965162948361844,284.097227690142,Middle,Middle,mid
first,Backhand,host,far,deuce,-61.07970800521779,550.5367180662073,110.77124890632949,-376.30680227452126,host,61.07970800521779,-550.5367180662073,-110.77124890632949,376.30680227452126,Cross Court,Cross Court,deep
first,Forehand,guest,far,deuce,-215.39985236209344,553.2905949253485,-42.803499562532565,-365.659284776714,guest,215.39985236209344,-553.2905949253485,42.803499562532565,365.659284776714,Middle,Middle,deep
first,Backhand,guest,near,deuce,47.035536964105184,-459.2267935255721,14.739118547673927,308.64070975487124,guest,47.035536964105184,-459.2267935255721,14.739118547673927,308.64070975487124,Middle,Middle,mid
first,Backhand,host,near,deuce,43.05907152228747,-485.7586614170719,22.587937445307666,174.61394356946366,host,43.05907152228747,-485.7586614170719,22.587937445307666,174.61394356946366,Middle,Middle,mid
first,Backhand,host,near,deuce,27.998277559040655,-525.8838801397109,-94.98924978122827,302.92756452302814,host,27.998277559040655,-525.8838801397109,-94.98924978122827,302.92756452302814,Cross Court,Cross Court,deep
first,Forehand,guest,far,deuce,-197.18637904626732,533.7816929131101,-57.50231299209628,-371.855861767087,guest,197.18637904626732,-533.7816929131101,57.50231299209628,371.855861767087,Down the Line,Down the Line,deep
first,Forehand,guest,far,deuce,-190.31701662282381,526.0058289586084,-48.026017060342646,-291.07341972863355,guest,190.31701662282381,-526.0058289586084,48.026017060342646,291.07341972863355,Middle,Middle,deep
first,Backhand,host,near,deuce,113.86069553799892,-492.0447287836478,49.85057961502236,347.367765747852,host,113.86069553799892,-492.0447287836478,49.85057961502236,347.367765747852,Middle,Middle,mid
first,Backhand,guest,near,deuce,88.82604986872052,-488.4519466314187,24.975431977239943,362.2422681537936,guest,88.82604986872052,-488.4519466314187,24.975431977239943,362.2422681537936,Middle,Middle,mid
first,Backhand,host,near,deuce,132.37077318453353,-470.3138396760475,135.20587270334224,286.18930446179445,host,132.37077318453353,-470.3138396760475,135.20587270334224,286.18930446179445,Down the Line,Down the Line,mid
first,Backhand,Net,far,deuce,-1.4130139982494887,583.5896325456303,80.32970800520785,215.35173884503317,guest,1.4130139982494887,-583.5896325456303,-80.32970800520785,0.0,Cross Court,Cross Court,deep
