date,singles_number,order_finished,clincher,player1_school,player2_school,player1_name,player2_name,score,match_winner,home_team_record,away_team_record
2026-05-02,1,2,False,UCLA,San Diego,Spencer Johnson,Oliver Tarvet,"4-6, 5-7",Oliver Tarvet,22-5,18-8
2026-05-02,2,0,False,UCLA,San Diego,Rudy Quan,Manvydas Balciunas,"6-7(3), 6-3, 0-1",Unfinished,22-5,18-8
2026-05-02,3,3,True,UCLA,San Diego,Emon van Loben Sels,Stian Klaassen,"2-6, 6-7(3)",Stian Klaassen,22-5,18-8
2026-05-02,4,1,False,UCLA,San Diego,Aadarsh Tripathi,Lambert Ruland,"3-6, 2-6",Lambert Ruland,22-5,18-8
2026-05-02,5,0,False,UCLA,San Diego,Andy Nguyen,Adrien Berrut,"6-4, 3-6, 2-2",Unfinished,22-5,18-8
2026-05-02,6,0,False,UCLA,San Diego,Cassius Chinlund,Neo Niedner,"3-6, 6-4",Unfinished,22-5,18-8
2026-05-01,1,3,True,Arizona State,UCLA,Ofek Shimanov,Spencer Johnson,"1-6, 4-6",Spencer Johnson,18-7,17-11
2026-05-01,2,1,False,Arizona State,UCLA,Mathis Bondaz,Rudy Quan,"3-6, 0-6",Rudy Quan,18-7,17-11
2026-05-01,3,2,False,Arizona State,UCLA,Shu Matsuoka,Emon van Loben Sels,"4-6, 1-6",Emon van Loben Sels,18-7,17-11
2026-05-01,4,0,False,Arizona State,UCLA,Niels Villard,Aadarsh Tripathi,"4-6, 2-2",Unfinished,18-7,17-11
2026-05-01,5,0,False,Arizona State,UCLA,Roi Ginat,Andy Nguyen,"5-7, 1-2",Unfinished,18-7,17-11
2026-05-01,6,0,False,Arizona State,UCLA,Milos Mikovic,Cassius Chinlund,"2-6, 2-5",Unfinished,18-7,17-11
2026-04-24,1,4,False,UCLA,Michigan State,Spencer Johnson,Aristotelis Thanos,"3-6, 5-7",Aristotelis Thanos,17-8,17-7
2026-04-24,2,2,False,UCLA,Michigan State,Rudy Quan,Matthew Forbes,"3-6, 4-6",Matthew Forbes,17-8,17-7
2026-04-24,3,1,False,UCLA,Michigan State,Emon van Loben Sels,Ozan Baris,"2-6, 2-6",Ozan Baris,17-8,17-7
2026-04-24,4,3,False,UCLA,Michigan State,Aadarsh Tripathi,D. Rakhmatullayev,"6-3, 6-4",Aadarsh Tripathi,17-8,17-7
2026-04-24,5,5,True,UCLA,Michigan State,Andy Nguyen,Taym Alazmeh,"3-6, 6-7(1)",Taym Alazmeh,17-8,17-7
2026-04-24,6,0,False,UCLA,Michigan State,Cassius Chinlund,Mitchell Sheldon,"6-3, 4-6, 1-1",Unfinished,17-8,17-7
2026-04-23,1,0,False,UCLA,USC,Spencer Johnson,Branko Djuric,"4-6, 7-6(5), 2-1",Unfinished,18-7,17-6
2026-04-23,2,1,False,UCLA,USC,Rudy Quan,Max Exsted,"6-1, 6-4",Rudy Quan,18-7,17-6
2026-04-23,3,0,False,UCLA,USC,Emon van Loben Sels,Andrin Casanova,"6-1, 4-6, 4-4",Unfinished,18-7,17-6
2026-04-23,4,3,True,UCLA,USC,Aadarsh Tripathi,Jack McCarthy,"6-0, 3-6, 6-4",Aadarsh Tripathi,18-7,17-6
2026-04-23,5,0,False,UCLA,USC,Andy Nguyen,Connor Church,"6-2, 3-6, 1-3",Unfinished,18-7,17-6
2026-04-23,6,2,False,UCLA,USC,Cassius Chinlund,Niels Hoffmann,"6-2, 7-6(5)",Cassius Chinlund,18-7,17-6
2026-04-19,1,3,False,UCLA,Washington,Rudy Quan,Soham Purohit,"6-4, 6-3",Rudy Quan,8-17,16-6
2026-04-19,2,2,False,UCLA,Washington,Emon van Loben Sels,Stephane Kamendje,"4-6, 3-6",Stephane Kamendje,8-17,16-6
2026-04-19,3,6,True,UCLA,Washington,Aadarsh Tripathi,Rohan Belday,"6-1, 6-7(1), 6-2",Aadarsh Tripathi,8-17,16-6
2026-04-19,4,4,False,UCLA,Washington,Andy Nguyen,Brett Pearson,"6-7(3), 2-6",Brett Pearson,8-17,16-6
2026-04-19,5,1,False,UCLA,Washington,Cassius Chinlund,Hyeonseok Seo,"6-2, 6-2",Cassius Chinlund,8-17,16-6
2026-04-19,6,5,False,UCLA,Washington,Bengt Reinhard,Nikola Plavsic,"3-6, 6-7(3)",Nikola Plavsic,8-17,16-6
