Event Name,Date,Player1,Player2,Player1 UTR,Player2 UTR,Score
"Dual Match: University of California, Los Angeles vs University of Texas at Austin",2025-05-15,Sebastian Eriksson,Spencer Johnson,13.3,13.43,"6-4, 6-4"
"Dual Match: University of California, Los Angeles vs University of Texas at Austin",2025-05-15,Lucas Brown,Giacomo Revelli,13.0,12.0,"6-2, 5-7"
"Dual Match: University of California, Los Angeles vs University of Texas at Austin",2025-05-15,Emon Van Loben Sels,Sebastian Gorzny,13.59,13.43,"6-3, 7-6(2)"
"Dual Match: University of California, Los Angeles vs University of Texas at Austin",2025-05-15,Pierre Bailly,Kaylan Bigun,13.88,13.24,"6-4, 6-4"
"Dual Match: University of California, Los Angeles vs University of Texas at Austin",2025-05-15,Jonah Braswell,Aadarsh Tripathi,13.01,12.91,"7-6(7), 2-1"
"Dual Match: University of California, Los Angeles vs University of Texas at Austin",2025-05-15,Timo Legout,Rudy Quan,14.23,13.59,"7-5, 6-2"
"Dual Match: University of Southern California vs University of California, Los Angeles",2025-05-08,Rudy Quan,Makk Peter,13.59,13.79,"7-6(4), 3-6, 3-3"
"Dual Match: University of Southern California vs University of California, Los Angeles",2025-05-08,Emon Van Loben Sels,Nathan Trouve,13.59,13.24,"6-4, 5-7, 6-3"
"Dual Match: University of Southern California vs University of California, Los Angeles",2025-05-08,Alexander Hoogmartens,Karl Lee,13.0,13.01,"4-6, 6-3, 6-3"
"Dual Match: University of Southern California vs University of California, Los Angeles",2025-05-08,Spencer Johnson,Volodymyr Iakubenko,13.43,12.69,"6-7(8), 6-4, 6-4"
"Dual Match: University of Southern California vs University of California, Los Angeles",2025-05-08,Connor Church,Aadarsh Tripathi,12.0,12.91,"7-5, 6-7(7), 6-4"
"Dual Match: University of Southern California vs University of California, Los Angeles",2025-05-08,Kaylan Bigun,Oscar Weightman,13.24,13.07,"6-2, 3-6, 6-2"
"Dual Match: University of California, Los Angeles vs University of California, Berkeley",2025-05-02,Giacomo Revelli,Bernardo Munk Mesa,12.0,12.52,"6-4, 7-6(5)"
"Dual Match: University of California, Los Angeles vs University of California, Berkeley",2025-05-02,Alexander Chang,Emon Van Loben Sels,13.0,13.59,"6-3, 5-7, 5-5"
"Dual Match: University of California, Los Angeles vs University of California, Berkeley",2025-05-02,Carl Overbeck,Rudy Quan,13.48,13.59,"5-7, 7-5, 6-3"
"Dual Match: University of California, Los Angeles vs University of California, Berkeley",2025-05-02,Kaylan Bigun,Theodore Dean,13.24,13.37,"4-6, 6-3, 7-6(4)"
"Dual Match: University of California, Los Angeles vs University of California, Berkeley",2025-05-02,Spencer Johnson,Derrick Chen,13.43,13.0,"6-2, 6-3"
"Dual Match: University of California, Los Angeles vs University of California, Berkeley",2025-05-02,Alexander Hoogmartens,Timofey Stepanov,13.0,13.02,"7-6(7), 1-6, 6-3"
"Dual Match: University of California, Santa Barbara vs University of California, Los Angeles",2025-05-01,Rudy Quan,Gianluca Brunkow,13.59,13.0,"5-7, 6-2, 0-1"
"Dual Match: University of California, Santa Barbara vs University of California, Los Angeles",2025-05-01,Kaylan Bigun,Lucca Liu,13.24,12.76,"6-3, 6-2"
"Dual Match: University of California, Santa Barbara vs University of California, Los Angeles",2025-05-01,Alexander Hoogmartens,Diogo Morais,13.0,12.79,"4-6, 6-3, 1-2"
"Dual Match: University of California, Santa Barbara vs University of California, Los Angeles",2025-05-01,Spencer Johnson,Charlie Underwood,13.43,12.0,"7-6(3), 6-2"
"Dual Match: University of California, Santa Barbara vs University of California, Los Angeles",2025-05-01,Giacomo Revelli,Matei Gavrea,12.0,12.0,"6-3, 7-5"
"Dual Match: University of California, Santa Barbara vs University of California, Los Angeles",2025-05-01,Emon Van Loben Sels,Dominique Rolland,13.59,12.0,"4-6, 4-4"
"Dual Match: University of California, Los Angeles vs The Ohio State University",2025-04-26,Bryce Nakashima,Spencer Johnson,13.46,13.43,"6-2, 6-4"
"Dual Match: University of California, Los Angeles vs The Ohio State University",2025-04-26,Alexander Hoogmartens,Jack Anthrop,13.0,13.57,"7-5, 0-6, 6-4"
"Dual Match: University of California, Los Angeles vs The Ohio State University",2025-04-26,Emon Van Loben Sels,Alexander Bernard,13.59,13.31,"7-6(5), 5-7, 6-3"
"Dual Match: University of California, Los Angeles vs The Ohio State University",2025-04-26,Aidan Kim,Rudy Quan,13.74,13.59,"7-6(3), 6-2"
"Dual Match: University of California, Los Angeles vs The Ohio State University",2025-04-26,Preston Stearns,Aadarsh Tripathi,13.08,12.91,"6-3, 2-6, 6-2"
"Dual Match: University of California, Los Angeles vs The Ohio State University",2025-04-26,Kaylan Bigun,William Jansen,13.24,13.14,"6-2, 7-5"
"Dual Match: Michigan State University vs University of California, Los Angeles",2025-04-25,Giacomo Revelli,Vuk Radjenovic,12.0,12.66,"6-3, 6-4"
"Dual Match: Michigan State University vs University of California, Los Angeles",2025-04-25,Kaylan Bigun,Max Sheldon,13.24,13.37,"6-4, 6-1"
"Dual Match: Michigan State University vs University of California, Los Angeles",2025-04-25,Emon Van Loben Sels,Ozan Baris,13.59,13.66,"7-5, 3-2"
"Dual Match: Michigan State University vs University of California, Los Angeles",2025-04-25,Rudy Quan,Aristotelis Thanos,13.59,13.67,"4-6, 3-1"
"Dual Match: Michigan State University vs University of California, Los Angeles",2025-04-25,Alexander Hoogmartens,Matthew Forbes,13.0,12.0,"3-6, 5-0"
"Dual Match: Michigan State University vs University of California, Los Angeles",2025-04-25,Spencer Johnson,Mitchell Sheldon,13.43,12.58,"6-2, 6-3"
"Dual Match: University of Michigan vs University of California, Los Angeles",2025-04-24,Rudy Quan,William Cooksey,13.59,12.0,"6-3, 5-6"
"Dual Match: University of Michigan vs University of California, Los Angeles",2025-04-24,Kaylan Bigun,Patorn HANCHAIKUL,13.24,12.64,"6-3, 6-1"
"Dual Match: University of Michigan vs University of California, Los Angeles",2025-04-24,Spencer Johnson,Alex Cairo,13.43,12.33,"6-1, 6-1"
"Dual Match: University of Michigan vs University of California, Los Angeles",2025-04-24,Giacomo Revelli,Mert Oral,12.0,12.0,"6-4, 6-3"
"Dual Match: University of Michigan vs University of California, Los Angeles",2025-04-24,Bjorn Swenson,Emon Van Loben Sels,12.96,13.59,"6-4, 6-4"
