URL,Match,Game Status_1,Game Status_2,Player_1,Player_2,Set 1_1,Set 1_2,Set 2_1,Set 2_2,Set 3_1,Set 3_2,Set 4_1,Set 4_2,Set 5_1,Set 5_2,Team_1,Team_2,Winning Team_1
https://uclabruins.com/api/v2/Stats/boxscore/32975,1,0,0,"Nanda, Govind",G. Espin Busleiman,7,5,4,5,0,95,,,,,UCLA,Utah,0
https://uclabruins.com/api/v2/Stats/boxscore/32975,2,0,0,"Johnson, Spencer",Bruno Krenn,7,5,4,6,1,0,0,95,,,UCLA,Utah,0
https://uclabruins.com/api/v2/Stats/boxscore/32975,3,1,0,"Hoogmartens, Alexander",Jayson Blando,6,0,6,2,,,,,,,UCLA,Utah,1
https://uclabruins.com/api/v2/Stats/boxscore/32975,4,1,0,"Revelli, Giacomo",Dylan Applegate,7,5,7,5,,,,,,,UCLA,Utah,0
https://uclabruins.com/api/v2/Stats/boxscore/32975,5,0,0,"Ballotta, Gianluca",Gianluca Citadini,5,7,6,0,2,1,0,95,,,UCLA,Utah,0
https://uclabruins.com/api/v2/Stats/boxscore/32975,6,1,0,"Plans Gonzalez, Jorge",Michael Blando,6,2,6,2,,,,,,,UCLA,Utah,0
https://uclabruins.com/api/v2/Stats/boxscore/33114,1,1,0,"Nanda, Govind",Cesar Bouchelaghem,6,0,7,5,,,,,,,UCLA,Washington,0
https://uclabruins.com/api/v2/Stats/boxscore/33114,2,0,0,"Johnson, Spencer",Dzianis Zharyn,4,6,5,5,0,95,,,,,UCLA,Washington,0
https://uclabruins.com/api/v2/Stats/boxscore/33114,3,0,0,"Revelli, Giacomo",Han-Chih Lin,6,3,5,4,0,95,,,,,UCLA,Washington,0
https://uclabruins.com/api/v2/Stats/boxscore/33114,4,1,0,"Hoogmartens, Alexander",Nedim Suko,6,4,6,2,,,,,,,UCLA,Washington,0
https://uclabruins.com/api/v2/Stats/boxscore/33114,5,0,0,"Ballotta, Gianluca",Ivan Sodan,4,6,6,4,0,95,,,,,UCLA,Washington,0
https://uclabruins.com/api/v2/Stats/boxscore/33114,6,1,0,"Plans Gonzalez, Jorge",Brett Pearson,6,3,6,3,,,,,,,UCLA,Washington,0
https://uclabruins.com/api/v2/Stats/boxscore/33183,1,1,0,Nishesh Basavareddy,"Nanda, Govind",6,2,6,2,,,,,,,Stanford,UCLA,0
https://uclabruins.com/api/v2/Stats/boxscore/33183,2,0,1,Samir Banerjee,"Johnson, Spencer",6,3,4,6,6,7,,,,,Stanford,UCLA,0
https://uclabruins.com/api/v2/Stats/boxscore/33183,3,1,0,Max Basing,"Revelli, Giacomo",7,5,6,3,,,,,,,Stanford,UCLA,1
https://uclabruins.com/api/v2/Stats/boxscore/33183,4,0,1,Kyle Kang,"Hoogmartens, Alexander",6,4,4,6,4,6,,,,,Stanford,UCLA,0
https://uclabruins.com/api/v2/Stats/boxscore/33183,5,1,0,Neel Rajesh,"Ballotta, Gianluca",7,5,6,3,,,,,,,Stanford,UCLA,0
https://uclabruins.com/api/v2/Stats/boxscore/33183,6,0,1,Hudson Rivera,"Plans Gonzalez, Jorge",4,6,7,5,3,6,,,,,Stanford,UCLA,0
https://uclabruins.com/api/v2/Stats/boxscore/33247,1,0,1,"Nanda, Govind",Quinn Vandecasteele,3,6,6,1,3,6,,,,,UCLA,Oregon,0
https://uclabruins.com/api/v2/Stats/boxscore/33247,2,1,0,"Johnson, Spencer",Vlad Breazu,6,2,6,3,,,,,,,UCLA,Oregon,0
https://uclabruins.com/api/v2/Stats/boxscore/33247,3,1,0,"Revelli, Giacomo",Matthew Burton,4,6,6,4,6,3,,,,,UCLA,Oregon,1
https://uclabruins.com/api/v2/Stats/boxscore/33247,4,1,0,"Hoogmartens, Alexander",Lenn Luemkemann,6,1,6,4,,,,,,,UCLA,Oregon,0
https://uclabruins.com/api/v2/Stats/boxscore/33247,5,0,1,"Ballotta, Gianluca",Ray Lo,4,6,6,7,,,,,,,UCLA,Oregon,0
https://uclabruins.com/api/v2/Stats/boxscore/33247,6,1,0,"Plans Gonzalez, Jorge",Avi Shugar,6,2,6,2,,,,,,,UCLA,Oregon,0
https://uclabruins.com/api/v2/Stats/boxscore/33248,1,0,1,Peter Makk,"Nanda, Govind",5,7,3,6,,,,,,,USC,UCLA,0
https://uclabruins.com/api/v2/Stats/boxscore/33248,2,0,1,Oscar Weightman,"Johnson, Spencer",6,7,4,6,,,,,,,USC,UCLA,0
https://uclabruins.com/api/v2/Stats/boxscore/33248,3,0,0,Lodewijk Weststrate,"Hoogmartens, Alexander",3,6,6,1,4,5,0,95,,,USC,UCLA,0
https://uclabruins.com/api/v2/Stats/boxscore/33248,4,1,0,Volodymyr Iakubenko,"Revelli, Giacomo",6,4,7,5,,,,,,,USC,UCLA,0
https://uclabruins.com/api/v2/Stats/boxscore/33248,5,0,1,Samuel Rubell,"Ballotta, Gianluca",3,6,6,2,2,6,,,,,USC,UCLA,0
https://uclabruins.com/api/v2/Stats/boxscore/33248,6,1,0,Karl Lee,"Plans Gonzalez, Jorge",6,3,6,3,,,,,,,USC,UCLA,0
https://uclabruins.com/api/v2/Stats/boxscore/33249,1,0,1,Stefan Latinovic,"Nanda, Govind",4,6,4,6,,,,,,,LSU,UCLA,0
https://uclabruins.com/api/v2/Stats/boxscore/33249,2,1,0,Alessio Vasquez,"Johnson, Spencer",6,4,6,4,,,,,,,LSU,UCLA,0
https://uclabruins.com/api/v2/Stats/boxscore/33249,3,1,0,Rudy Ceccon,"Hoogmartens, Alexander",6,4,6,3,,,,,,,LSU,UCLA,1
https://uclabruins.com/api/v2/Stats/boxscore/33249,4,1,0,Julien Penzlin,"Revelli, Giacomo",6,4,6,0,,,,,,,LSU,UCLA,0
https://uclabruins.com/api/v2/Stats/boxscore/33249,5,0,1,Chen Dong,"Ballotta, Gianluca",4,6,4,6,,,,,,,LSU,UCLA,0
https://uclabruins.com/api/v2/Stats/boxscore/33249,6,0,1,Welsh Hotard,"Plans Gonzalez, Jorge",0,6,3,6,,,,,,,LSU,UCLA,0
https://uclabruins.com/api/v2/Stats/boxscore/33448,1,0,1,Carson Lee,"Nanda, Govind",0,6,3,6,,,,,,,UC San Diego,UCLA,0
https://uclabruins.com/api/v2/Stats/boxscore/33448,2,0,1,Phillip Lan,"Johnson, Spencer",3,6,1,6,,,,,,,UC San Diego,UCLA,0
https://uclabruins.com/api/v2/Stats/boxscore/33448,3,0,0,Diogo Tinoco,"Plans Gonzalez, Jorge",5,7,3,3,0,95,,,,,UC San Diego,UCLA,0
https://uclabruins.com/api/v2/Stats/boxscore/33448,4,0,1,Pelayo Rodriguez,"Tripathi, Aadarsh",3,6,3,6,,,,,,,UC San Diego,UCLA,0
https://uclabruins.com/api/v2/Stats/boxscore/33448,5,0,0,Zach Pellouchoud,"van Loben Sels, Emon",5,7,5,2,0,95,,,,,UC San Diego,UCLA,0
https://uclabruins.com/api/v2/Stats/boxscore/33448,6,0,0,Charles Qian,"Visaya, Azuma",4,6,3,5,0,95,,,,,UC San Diego,UCLA,0
https://uclabruins.com/api/v2/Stats/boxscore/33489,1,1,0,Quinn Vandecasteele,"Nanda, Govind",6,3,6,4,,,,,,,Oregon,UCLA,0
https://uclabruins.com/api/v2/Stats/boxscore/33489,2,0,0,David Cierny,"Johnson, Spencer",3,6,6,4,3,3,0,95,,,Oregon,UCLA,0
https://uclabruins.com/api/v2/Stats/boxscore/33489,3,1,0,Vlad Breazu,"Hoogmartens, Alexander",6,4,6,2,,,,,,,Oregon,UCLA,1
https://uclabruins.com/api/v2/Stats/boxscore/33489,4,1,0,Matthew Burton,"Revelli, Giacomo",6,4,3,6,6,0,,,,,Oregon,UCLA,0
https://uclabruins.com/api/v2/Stats/boxscore/33489,5,1,0,Lenn Luemkemann,"Ballotta, Gianluca",6,4,7,5,,,,,,,Oregon,UCLA,0
https://uclabruins.com/api/v2/Stats/boxscore/33489,6,0,0,Ray Lo,"Plans Gonzalez, Jorge",5,7,5,6,0,95,,,,,Oregon,UCLA,0
https://uclabruins.com/api/v2/Stats/boxscore/33510,1,0,0,"Nanda, Govind",Eliot Spizzirri,7,6,4,1,0,95,,,,,UCLA,Texas,0
https://uclabruins.com/api/v2/Stats/boxscore/33510,2,0,0,"Johnson, Spencer",Micah Braswell,6,7,4,5,0,95,,,,,UCLA,Texas,0
https://uclabruins.com/api/v2/Stats/boxscore/33510,3,0,1,"Hoogmartens, Alexander",Gilles-Arnaud Bailly,4,6,4,6,,,,,,,UCLA,Texas,0
https://uclabruins.com/api/v2/Stats/boxscore/33510,4,0,1,"Revelli, Giacomo",Siem Woldeab,4,6,4,6,,,,,,,UCLA,Texas,0
https://uclabruins.com/api/v2/Stats/boxscore/33510,5,0,0,"Ballotta, Gianluca",Jonah Braswell,4,6,3,3,0,95,,,,,UCLA,Texas,0
https://uclabruins.com/api/v2/Stats/boxscore/33510,6,0,1,"Plans Gonzalez, Jorge",Cleeve Harper,4,6,1,6,,,,,,,UCLA,Texas,0
https://uclabruins.com/api/v2/Stats/boxscore/34008,1,1,0,"Johnson, Spencer",Noah Zamora,6,3,6,4,,,,,,,UCLA,UC Irvine,0
https://uclabruins.com/api/v2/Stats/boxscore/34008,2,1,0,"Quan, Rudy",Andy Nguyen,6,4,6,3,,,,,,,UCLA,UC Irvine,0
https://uclabruins.com/api/v2/Stats/boxscore/34008,3,0,0,"Bigun, Kaylan",Hiroki Sakagawa,6,7,2,5,0,95,,,,,UCLA,UC Irvine,0
https://uclabruins.com/api/v2/Stats/boxscore/34008,4,0,0,"van Loben Sels, Emon",Rithvik Krishna,7,6,4,5,0,95,,,,,UCLA,UC Irvine,0
https://uclabruins.com/api/v2/Stats/boxscore/34008,5,1,0,"Hoogmartens, Alexander",Lawee Sherif,6,2,6,3,,,,,,,UCLA,UC Irvine,0
https://uclabruins.com/api/v2/Stats/boxscore/34008,6,1,0,"Tripathi, Aadarsh",Ruining Huang,6,4,7,6,,,,,,,UCLA,UC Irvine,0
https://uclabruins.com/api/v2/Stats/boxscore/34010,1,1,0,Oliver Tarvet,"Johnson, Spencer",7,6,6,4,,,,,,,San Diego,UCLA,0
https://uclabruins.com/api/v2/Stats/boxscore/34010,2,0,1,Iiro Vasa,"Quan, Rudy",3,6,6,7,,,,,,,San Diego,UCLA,0
https://uclabruins.com/api/v2/Stats/boxscore/34010,3,1,0,Savriyan Danilov,"Bigun, Kaylan",6,3,5,7,2,0,96,0,,,San Diego,UCLA,1
https://uclabruins.com/api/v2/Stats/boxscore/34010,4,1,0,Stian Klaassen,"van Loben Sels, Emon",6,4,5,7,6,4,,,,,San Diego,UCLA,0
https://uclabruins.com/api/v2/Stats/boxscore/34010,5,1,0,Adrien Berrut,"Hoogmartens, Alexander",7,5,6,4,,,,,,,San Diego,UCLA,0
https://uclabruins.com/api/v2/Stats/boxscore/34010,6,0,1,Neo Niedner,"Tripathi, Aadarsh",3,6,1,6,,,,,,,San Diego,UCLA,0
https://uclabruins.com/api/v2/Stats/boxscore/34011,1,0,1,"Johnson, Spencer",Theo Papamalamis,3,6,1,6,,,,,,,UCLA,Texas A+M,0
https://uclabruins.com/api/v2/Stats/boxscore/34011,2,0,1,"Quan, Rudy",JC Roddick,3,6,6,2,3,6,,,,,UCLA,Texas A+M,0
https://uclabruins.com/api/v2/Stats/boxscore/34011,3,0,1,"Bigun, Kaylan",Luke Casper,4,6,3,6,,,,,,,UCLA,Texas A+M,0
https://uclabruins.com/api/v2/Stats/boxscore/34011,4,1,0,"van Loben Sels, Emon",Tiago Pires,6,2,6,3,,,,,,,UCLA,Texas A+M,0
https://uclabruins.com/api/v2/Stats/boxscore/34011,5,1,0,"Hoogmartens, Alexander",Togan Tokac,6,4,6,3,,,,,,,UCLA,Texas A+M,0
https://uclabruins.com/api/v2/Stats/boxscore/34011,6,0,1,"Tripathi, Aadarsh",Giulio Perego,2,6,2,6,,,,,,,UCLA,Texas A+M,0
https://uclabruins.com/api/v2/Stats/boxscore/34012,1,0,1,Thomas Paulsell,"Johnson, Spencer",2,6,6,7,,,,,,,Georgia,UCLA,0
https://uclabruins.com/api/v2/Stats/boxscore/34012,2,0,1,Ryan Colby,"Quan, Rudy",2,6,3,6,,,,,,,Georgia,UCLA,0
https://uclabruins.com/api/v2/Stats/boxscore/34012,3,1,0,Miguel Perez Pena,"Bigun, Kaylan",7,5,6,4,,,,,,,Georgia,UCLA,1
https://uclabruins.com/api/v2/Stats/boxscore/34012,4,0,0,Niels Ratiu,"van Loben Sels, Emon",3,6,6,4,0,95,,,,,Georgia,UCLA,0
https://uclabruins.com/api/v2/Stats/boxscore/34012,5,0,1,Oscar Pinto Sansano,"Hoogmartens, Alexander",1,6,5,7,,,,,,,Georgia,UCLA,0
https://uclabruins.com/api/v2/Stats/boxscore/34012,6,0,1,Gabriele Vulpitta,"Tripathi, Aadarsh",1,6,3,6,,,,,,,Georgia,UCLA,0
https://uclabruins.com/api/v2/Stats/boxscore/34013,1,1,0,Carl Emil Overbeck,"Quan, Rudy",6,7,6,3,6,4,,,,,California,UCLA,0
https://uclabruins.com/api/v2/Stats/boxscore/34013,2,0,0,Alex Chang,"Johnson, Spencer",6,7,7,6,2,2,0,95,,,California,UCLA,0
https://uclabruins.com/api/v2/Stats/boxscore/34013,3,0,1,Theo Dean,"van Loben Sels, Emon",4,6,3,6,,,,,,,California,UCLA,0
https://uclabruins.com/api/v2/Stats/boxscore/34013,4,0,1,Derrick Chen,"Hoogmartens, Alexander",3,6,1,6,,,,,,,California,UCLA,0
https://uclabruins.com/api/v2/Stats/boxscore/34013,5,1,0,Timofey Stepanov,"Revelli, Giacomo",6,4,6,4,,,,,,,California,UCLA,0
https://uclabruins.com/api/v2/Stats/boxscore/34013,6,1,0,Bernardo Munk Mesa,"Ballotta, Gianluca",7,6,6,4,,,,,,,California,UCLA,0
https://uclabruins.com/api/v2/Stats/boxscore/34014,1,1,0,Samir Banerjee,"Johnson, Spencer",6,3,3,6,6,4,,,,,Stanford,UCLA,0
https://uclabruins.com/api/v2/Stats/boxscore/34014,2,0,0,Max Basing,"van Loben Sels, Emon",6,3,4,6,2,5,0,95,,,Stanford,UCLA,0
https://uclabruins.com/api/v2/Stats/boxscore/34014,3,1,0,von der Schulenburg,"Hoogmartens, Alexander",6,4,6,4,,,,,,,Stanford,UCLA,1
https://uclabruins.com/api/v2/Stats/boxscore/34014,4,1,0,Hudson Rivera,"Tripathi, Aadarsh",4,6,7,5,6,3,,,,,Stanford,UCLA,0
https://uclabruins.com/api/v2/Stats/boxscore/34014,5,0,0,Nico Godsick,"Revelli, Giacomo",7,6,6,7,3,4,0,95,,,Stanford,UCLA,0
https://uclabruins.com/api/v2/Stats/boxscore/34014,6,0,0,Alex Razeghi,"Ballotta, Gianluca",4,6,7,6,0,1,0,95,,,Stanford,UCLA,0
https://uclabruins.com/api/v2/Stats/boxscore/34016,1,0,1,Peter Makk,"Quan, Rudy",2,6,3,6,,,,,,,USC,UCLA,0
https://uclabruins.com/api/v2/Stats/boxscore/34016,2,1,0,Nathan Trouve,"Bigun, Kaylan",7,5,6,2,,,,,,,USC,UCLA,0
https://uclabruins.com/api/v2/Stats/boxscore/34016,3,0,1,Oscar Weightman,"van Loben Sels, Emon",2,6,1,6,,,,,,,USC,UCLA,0
https://uclabruins.com/api/v2/Stats/boxscore/34016,4,0,1,Volodymyr Iakubenko,"Hoogmartens, Alexander",3,6,2,6,,,,,,,USC,UCLA,0
https://uclabruins.com/api/v2/Stats/boxscore/34016,5,1,0,Matteo Morazzi,"Tripathi, Aadarsh",6,3,1,6,6,4,,,,,USC,UCLA,0
https://uclabruins.com/api/v2/Stats/boxscore/34016,6,1,0,Karl Lee,"Ballotta, Gianluca",7,5,2,6,6,2,,,,,USC,UCLA,0
https://uclabruins.com/api/v2/Stats/boxscore/34018,1,0,1,Deacon Thomas,"Quan, Rudy",2,6,4,6,,,,,,,Indiana,UCLA,0
https://uclabruins.com/api/v2/Stats/boxscore/34018,2,0,1,Jip van Assendelft,"Bigun, Kaylan",3,6,3,6,,,,,,,Indiana,UCLA,0
https://uclabruins.com/api/v2/Stats/boxscore/34018,3,0,1,Ben Pomeranets,"van Loben Sels, Emon",3,6,2,6,,,,,,,Indiana,UCLA,0
https://uclabruins.com/api/v2/Stats/boxscore/34018,4,0,1,Sam Scherer,"Hoogmartens, Alexander",6,7,6,3,0,1,,,,,Indiana,UCLA,0
https://uclabruins.com/api/v2/Stats/boxscore/34018,5,0,1,Braedon Gelletich,"Tripathi, Aadarsh",3,6,4,6,,,,,,,Indiana,UCLA,0
https://uclabruins.com/api/v2/Stats/boxscore/34018,6,0,1,Karan Raghavendra,"Ballotta, Gianluca",2,6,2,6,,,,,,,Indiana,UCLA,0
https://uclabruins.com/api/v2/Stats/boxscore/34019,1,0,1,Aleksa Krivokapic,"Quan, Rudy",6,4,3,6,0,1,,,,,Purdue,UCLA,0
https://uclabruins.com/api/v2/Stats/boxscore/34019,2,0,1,Juan David Velasquez,"Bigun, Kaylan",0,6,2,6,,,,,,,Purdue,UCLA,0
https://uclabruins.com/api/v2/Stats/boxscore/34019,3,0,1,Henrik Villanger,"van Loben Sels, Emon",2,6,1,6,,,,,,,Purdue,UCLA,0
https://uclabruins.com/api/v2/Stats/boxscore/34019,4,0,1,Stefan Simeunovic,"Hoogmartens, Alexander",5,7,1,6,,,,,,,Purdue,UCLA,0
https://uclabruins.com/api/v2/Stats/boxscore/34019,5,0,1,Maj Premzl,"Ballotta, Gianluca",2,6,6,7,,,,,,,Purdue,UCLA,0
https://uclabruins.com/api/v2/Stats/boxscore/34019,6,0,1,Nour Fathalla,"Revelli, Giacomo",3,6,1,6,,,,,,,Purdue,UCLA,0
https://uclabruins.com/api/v2/Stats/boxscore/34020,1,0,1,"Quan, Rudy",Peter Makk,4,6,4,6,,,,,,,UCLA,USC,0
https://uclabruins.com/api/v2/Stats/boxscore/34020,2,0,1,"Bigun, Kaylan",Nathan Trouve,6,1,0,6,1,6,,,,,UCLA,USC,0
https://uclabruins.com/api/v2/Stats/boxscore/34020,3,1,0,"van Loben Sels, Emon",Volodymyr Iakubenko,7,6,6,4,,,,,,,UCLA,USC,1
https://uclabruins.com/api/v2/Stats/boxscore/34020,4,0,1,"Hoogmartens, Alexander",Oscar Weightman,7,5,4,6,3,6,,,,,UCLA,USC,0
https://uclabruins.com/api/v2/Stats/boxscore/34020,5,1,0,"Tripathi, Aadarsh",Matteo Morazzi,7,5,2,6,6,1,,,,,UCLA,USC,0
https://uclabruins.com/api/v2/Stats/boxscore/34020,6,0,1,"Revelli, Giacomo",Karl Lee,2,6,4,6,,,,,,,UCLA,USC,0
https://uclabruins.com/api/v2/Stats/boxscore/34021,1,0,0,"Quan, Rudy",Kenta Miyoshi,6,7,1,5,0,95,,,,,UCLA,Illinois,0
https://uclabruins.com/api/v2/Stats/boxscore/34021,2,0,0,"Bigun, Kaylan",William Mroz,2,6,6,3,0,4,0,95,,,UCLA,Illinois,0
https://uclabruins.com/api/v2/Stats/boxscore/34021,3,1,0,"van Loben Sels, Emon",Jeremy Zhang,6,1,6,4,,,,,,,UCLA,Illinois,1
https://uclabruins.com/api/v2/Stats/boxscore/34021,4,1,0,"Hoogmartens, Alexander",Tyler Bowers,6,1,6,0,,,,,,,UCLA,Illinois,0
