Serve State,Stroke,Result,Hit Side,Hit Zone,Hit (x),Hit (y),Bounce (x),Bounce (y),Point Winner,shotContactX,shotContactY,shotLocationX,shotLocationY,return_zone_original,return_zone,return_contact
second,Backhand,guest,far,ad,166.11388888880307,453.68474409425374,-45.121828521411516,-378.5800415571098,guest,-166.11388888880307,-453.68474409425374,45.121828521411516,378.5800415571098,Middle,Middle,inside
second,Backhand,host,near,ad,-129.4073326770985,-359.07906277321786,-23.15649606298016,397.8474956253413,host,-129.4073326770985,-359.07906277321786,-23.15649606298016,397.8474956253413,Middle,Middle,inside
second,Backhand,host,near,ad,-120.43628608917663,-400.6448928256898,-54.125295275562586,299.7640529307288,host,-120.43628608917663,-400.6448928256898,-54.125295275562586,299.7640529307288,Down the Line,Down the Line,inside
second,Backhand,host,near,ad,-168.50616797891558,-405.42945100591476,93.10275590546372,296.973736876487,host,-168.50616797891558,-405.42945100591476,93.10275590546372,296.973736876487,Cross Court,Cross Court,inside
second,Forehand,Net,far,ad,117.81974518804063,529.0415354327976,9.288779527554256,16.877050524925664,guest,-117.81974518804063,-529.0415354327976,-9.288779527554256,0.0,Middle,Middle,deep
second,Forehand,host,far,ad,47.733431758505525,523.0608377075163,-92.79577865262048,-262.22486876626874,host,-47.733431758505525,-523.0608377075163,92.79577865262048,262.22486876626874,Cross Court,Cross Court,deep
second,Backhand,guest,near,ad,-198.26014873130615,-505.30710301811166,15.764736439186956,315.31386701646005,guest,-198.26014873130615,-505.30710301811166,15.764736439186956,315.31386701646005,Middle,Middle,mid
second,Backhand,guest,near,ad,-179.71994750646886,-390.17869094468034,100.40096784771717,350.0019138230913,guest,-179.71994750646886,-390.17869094468034,100.40096784771717,350.0019138230913,Cross Court,Cross Court,inside
second,Backhand,host,near,ad,-195.2697615922001,-499.32640529283043,23.77328302710933,342.8250765527538,host,-195.2697615922001,-499.32640529283043,23.77328302710933,342.8250765527538,Middle,Middle,mid
second,Backhand,host,far,ad,111.76429352575154,413.0159995623413,7.830982064737862,-265.7109361328461,host,-111.76429352575154,-413.0159995623413,-7.830982064737862,265.7109361328461,Middle,Middle,inside
second,Backhand,Out,far,ad,154.30200131225624,397.46618547661,177.4421916009582,-446.93312007850926,guest,-154.30200131225624,-397.46618547661,-177.4421916009582,446.93312007850926,Down the Line,Down the Line,inside
second,Backhand,host,near,ad,-153.1058617672,-522.950180445924,15.63892169727976,286.1075842080762,host,-153.1058617672,-522.950180445924,15.63892169727976,286.1075842080762,Middle,Middle,deep
second,Backhand,host,far,ad,136.584169947436,456.0770231843663,24.44442257216585,-264.38243657029216,host,-136.584169947436,-456.0770231843663,-24.44442257216585,264.38243657029216,Middle,Middle,mid
second,Backhand,host,far,ad,119.16539260711255,426.17353455796,-62.13797572175268,-299.2528324582881,host,-119.16539260711255,-426.17353455796,62.13797572175268,299.2528324582881,Cross Court,Cross Court,inside
second,Backhand,guest,near,ad,-125.96846019241086,-411.70920275569284,44.48969269464018,339.3126749779524,guest,-125.96846019241086,-411.70920275569284,44.48969269464018,339.3126749779524,Middle,Middle,inside
second,Backhand,guest,far,ad,185.10261373568738,444.71369750633187,-51.953067585274994,-298.670532589522,guest,-185.10261373568738,-444.71369750633187,51.953067585274994,298.670532589522,Middle,Middle,inside
second,Backhand,host,far,ad,118.26830708655307,446.50790682391624,-66.81692913382375,-380.77764654398527,host,-118.26830708655307,-446.50790682391624,66.81692913382375,380.77764654398527,Cross Court,Cross Court,inside
second,Forehand,host,near,ad,-106.30691163599057,-393.4680555553523,-76.71154855639082,327.2843722657977,host,-106.30691163599057,-393.4680555553523,-76.71154855639082,327.2843722657977,Down the Line,Down the Line,inside
second,Forehand,host,near,ad,-110.19434601919068,-400.6448928256898,-1.2569608486432702,453.99880249320375,host,-110.19434601919068,-400.6448928256898,-1.2569608486432702,453.99880249320375,Middle,Middle,inside
second,Backhand,guest,near,ad,-132.02391185469995,-404.83138123338665,63.547812773370495,326.465676946463,guest,-132.02391185469995,-404.83138123338665,63.547812773370495,326.465676946463,Cross Court,Cross Court,inside
second,Forehand,host,far,ad,167.90809820638745,512.29558180201,-64.38801946628345,-310.4197233156752,host,-167.90809820638745,-512.29558180201,64.38801946628345,310.4197233156752,Cross Court,Cross Court,mid
second,Backhand,Net,far,ad,124.54802055986568,511.09944225695375,118.8663768590812,204.93437773392742,host,-124.54802055986568,-511.09944225695375,-118.8663768590812,0.0,Down the Line,Down the Line,mid
second,Forehand,host,near,ad,-144.06006124227028,-414.9985673663648,-1.8433562992116461,354.6722933069034,host,-144.06006124227028,-414.9985673663648,-1.8433562992116461,354.6722933069034,Middle,Middle,inside
second,Backhand,host,near,ad,-120.43628608917663,-423.9696139542867,41.47423447066974,206.20293635159948,host,-120.43628608917663,-423.9696139542867,41.47423447066974,206.20293635159948,Middle,Middle,inside
second,Backhand,guest,far,ad,82.01031277336095,472.22490704262566,-66.15501421693871,-388.62822615902934,guest,-82.01031277336095,-472.22490704262566,66.15501421693871,388.62822615902934,Cross Court,Cross Court,mid
second,Forehand,Net,near,ad,-162.52547025363432,-565.7121883199177,-78.57140201220788,-8.540933945752387,guest,-162.52547025363432,-565.7121883199177,-78.57140201220788,0.0,Down the Line,Down the Line,deep
second,Forehand,guest,far,ad,126.49177602793115,484.7843722657163,-101.48495734902895,-294.52289479424854,guest,-126.49177602793115,-484.7843722657163,101.48495734902895,294.52289479424854,Cross Court,Cross Court,mid
second,Forehand,host,far,ad,121.10910979871258,453.68474409425374,-78.40478455813972,-338.93649387559043,host,-121.10910979871258,-453.68474409425374,78.40478455813972,338.93649387559043,Cross Court,Cross Court,inside
second,Forehand,host,far,ad,116.62360564298437,465.64613954481626,-111.34857283458814,-381.9398731406601,host,-116.62360564298437,-465.64613954481626,111.34857283458814,381.9398731406601,Cross Court,Cross Court,mid
second,Backhand,guest,far,ad,151.76021434812807,487.17665135582877,-81.65288713906543,-337.4538167102369,guest,-151.76021434812807,-487.17665135582877,81.65288713906543,337.4538167102369,Cross Court,Cross Court,mid
second,Forehand,Out,far,ad,66.34834864388523,465.64613954481626,-202.24426946621222,-423.4158300522747,guest,-66.34834864388523,-465.64613954481626,202.24426946621222,423.4158300522747,Cross Court,Cross Court,mid
second,Backhand,host,near,ad,-160.13319116352184,-539.6961340767116,-12.761718066485097,294.94971566039004,host,-160.13319116352184,-539.6961340767116,-12.761718066485097,294.94971566039004,Middle,Middle,deep
second,Backhand,guest,far,ad,149.36793525801556,505.1187445316725,-57.31965769900801,-377.0108978563232,guest,-149.36793525801556,-505.1187445316725,57.31965769900801,377.0108978563232,Cross Court,Cross Court,mid
second,Backhand,host,far,ad,177.77623031486877,501.53032589650377,1.5407425634287752,-154.91848206466187,host,-177.77623031486877,-501.53032589650377,-1.5407425634287752,154.91848206466187,Middle,Middle,mid
second,Backhand,guest,near,ad,-127.98693132101874,-384.1979932193991,40.161275153085114,453.3482556865549,guest,-127.98693132101874,-384.1979932193991,40.161275153085114,453.3482556865549,Middle,Middle,inside
second,Backhand,guest,far,ad,153.85343941374379,517.080139982235,17.103034776894052,-352.5184383200279,guest,-153.85343941374379,-517.080139982235,-17.103034776894052,352.5184383200279,Middle,Middle,deep
second,Backhand,host,far,ad,164.3196795712187,511.09944225695375,-45.89122375325714,-436.14608486416665,host,-164.3196795712187,-511.09944225695375,45.89122375325714,436.14608486416665,Middle,Middle,mid
second,Backhand,guest,far,ad,156.39526465433738,546.9836286086413,81.23743438316014,-214.1462981188745,guest,-156.39526465433738,-546.9836286086413,-81.23743438316014,214.1462981188745,Down the Line,Down the Line,deep
second,Backhand,guest,near,ad,-130.97728018365936,-423.9696139542867,9.810793963249525,214.74096128597836,guest,-130.97728018365936,-423.9696139542867,9.810793963249525,214.74096128597836,Middle,Middle,inside
second,Backhand,Net,far,ad,192.12990485554377,526.649256342685,63.283245844236774,16.877050524925664,guest,-192.12990485554377,-526.649256342685,-63.283245844236774,0.0,Down the Line,Down the Line,deep
second,Backhand,guest,near,ad,-144.13481517927812,-413.5034120732772,-13.644220253711236,261.0036198598826,guest,-144.13481517927812,-413.5034120732772,-13.644220253711236,261.0036198598826,Middle,Middle,inside
second,Backhand,host,far,ad,132.92099737525942,493.15734908111,-125.3596347330936,-369.05945975483996,host,-132.92099737525942,-493.15734908111,125.3596347330936,369.05945975483996,Cross Court,Cross Court,mid
