Player,Year,Hometown,UTR,Singles_Record,Doubles_Record,Profile_URL,UTR_URL
Gianluca Ballotta,N/A,,N/A,0-0,0-0,https://uclabruins.com/sports/mens-tennis/roster/gianluca-ballotta/15452,https://app.utrsports.net/profiles/2920230
Cassius Chinlund,N/A,,N/A,0-0,0-0,https://uclabruins.com/sports/mens-tennis/roster/cassius-chinlund/15453,https://app.utrsports.net/profiles/5329395
Andrei Crabel,N/A,,N/A,0-0,0-0,https://uclabruins.com/sports/mens-tennis/roster/andrei-crabel/15454,https://app.utrsports.net/profiles/4270236
Spencer Johnson,N/A,,N/A,0-0,0-0,https://uclabruins.com/sports/mens-tennis/roster/spencer-johnson/15455,https://app.utrsports.net/profiles/2580878
Andy Nguyen,N/A,,N/A,0-0,0-0,https://uclabruins.com/sports/mens-tennis/roster/andy-nguyen/15460,https://app.utrsports.net/profiles/5600655
Rudy Quan,N/A,,N/A,0-0,0-0,https://uclabruins.com/sports/mens-tennis/roster/rudy-quan/15456,https://app.utrsports.net/profiles/168171
Bengt Reinhard,N/A,,N/A,0-0,0-0,https://uclabruins.com/sports/mens-tennis/roster/bengt-reinhard/15461,https://app.utrsports.net/profiles/5691846
Aadarsh Tripathi,N/A,,N/A,0-0,0-0,https://uclabruins.com/sports/mens-tennis/roster/aadarsh-tripathi/15457,https://app.utrsports.net/profiles/5581068
Emon van Loben Sels,N/A,,N/A,0-0,0-0,https://uclabruins.com/sports/mens-tennis/roster/emon-van-loben-sels/15458,https://app.utrsports.net/profiles/1633823
Leo von Bismarck,N/A,,N/A,0-0,0-0,https://uclabruins.com/sports/mens-tennis/roster/leo-von-bismarck/15459,https://app.utrsports.net/profiles/5147930
Andrin Casanova,N/A,,N/A,0-0,0-0,https://usctrojans.com/sports/mens-tennis/roster/andrin-casanova/18420,https://app.utrsports.net/profiles/5746919
Connor Church,N/A,,N/A,0-0,0-0,https://usctrojans.com/sports/mens-tennis/roster/connor-church/17855,https://app.utrsports.net/profiles/4792950
Branko Djuric,N/A,,N/A,0-0,0-0,https://usctrojans.com/sports/mens-tennis/roster/branko-djuric/18419,https://app.utrsports.net/profiles/4556725
Max Exsted,N/A,,N/A,0-0,0-0,https://usctrojans.com/sports/mens-tennis/roster/max-exsted/18418,https://app.utrsports.net/profiles/4250519
Niels Hoffmann,N/A,,N/A,0-0,0-0,https://usctrojans.com/sports/mens-tennis/roster/niels-hoffmann/17856,https://app.utrsports.net/profiles/3131692
Jack McCarthy,N/A,,N/A,0-0,0-0,https://usctrojans.com/sports/mens-tennis/roster/jack-mccarthy/17861,https://app.utrsports.net/profiles/232214
Matteo Morazzi,N/A,,N/A,0-0,0-0,https://usctrojans.com/sports/mens-tennis/roster/matteo-morazzi/17858,https://app.utrsports.net/profiles/1296450
Sklar Phillips,N/A,,N/A,0-0,0-0,https://usctrojans.com/sports/mens-tennis/roster/sklar-phillips/18421,https://app.utrsports.net/profiles/909605
Pablo Robledo Hoyos,N/A,,N/A,0-0,0-0,https://usctrojans.com/sports/mens-tennis/roster/pablo-robledo-hoyos/17860,https://app.utrsports.net/profiles/5764318
Nathan Trouve,N/A,,N/A,0-0,0-0,https://usctrojans.com/sports/mens-tennis/roster/nathan-trouve/17859,https://app.utrsports.net/profiles/3396050
Arnav Bhandari,Skip Ad,"San Ramon, Calif.",N/A,0-0,0-0,https://mgoblue.com/sports/mens-tennis/roster/arnav-bhandari/27303,https://app.utrsports.net/profiles/3104668
Alex Cairo,Skip Ad,"Dallas, Texas",N/A,0-0,0-0,https://mgoblue.com/sports/mens-tennis/roster/alex-cairo/27297,https://app.utrsports.net/profiles/4998636
Max Dahlin,Skip Ad,"Karlstad, Sweden",N/A,0-0,0-0,https://mgoblue.com/sports/mens-tennis/roster/max-dahlin/27298,https://app.utrsports.net/profiles/5619888
Mert Oral,Skip Ad,"Ann Arbor, Mich.",N/A,0-0,0-0,https://mgoblue.com/sports/mens-tennis/roster/mert-oral/27300,https://app.utrsports.net/profiles/4888907
Joseph Oyebog Jr.,Skip Ad,Skip Ad,N/A,0-0,0-0,https://mgoblue.com/sports/mens-tennis/roster/joseph-oyebog-jr/27304,https://app.utrsports.net/profiles/4202000
Pierce Shaya,Skip Ad,"Bloomfield Hills, Mich.",N/A,0-0,0-0,https://mgoblue.com/sports/mens-tennis/roster/pierce-shaya/27305,https://app.utrsports.net/profiles/3205675
Nicholas Steiglehner,Skip Ad,"New York, N.Y.",N/A,0-0,0-0,https://mgoblue.com/sports/mens-tennis/roster/nicholas-steiglehner/27301,https://app.utrsports.net/profiles/4013968
Bjorn Swenson,Skip Ad,"North Oaks, Minn.",N/A,0-0,0-0,https://mgoblue.com/sports/mens-tennis/roster/bjorn-swenson/27302,https://app.utrsports.net/profiles/112464
Bruce Lipka,"Bruce Lipka Was Hired As Men’S Tennis Head Coach In June 2024. Lipka Brings 36 Years Of Coaching Experience To Penn State.  Coach Lipka Has Mentored Players On The Sport’S Grandest Stages Including All Four Grand Slams And The Year-End Tour Championships. Former And Current Players Coached Include Multiple Grand Slam And Ncaa Champions And More Than 20 Top 100 Atp And Wta Tour Players.In His First Year At Penn State, The Nittany Lions Notched 12 Dual-Match Wins. Psu Tallied An 11-6 Record In Home Matches And Went 6-0 Against In-State Opponents.Penn State Were Ranked Five Times In The Ita Poll, Rising As High As No. 59. In Singles, Graduate Student Loren Byers Ranked As High As No. 51.Byers Was Tabbed First-Team All-Big Ten And Earned The Big Ten Sportsmanship Award. Byers Led Penn State With 17 Singles Wins, Including 13 In Dual Matches While Playing Exclusively At No. 1. Byers Went 5-2 In Big Ten Matches, Including Wins Over Michigan State’S No. 5 Ozan Baris (7-5, 6-3), Ohio State’S No. 10 Aidan Kim (7-5, 6-4), Nebraska’S No. 73 Calvin Mueller (6-4, 7-6(4)) And Wisconsin’S No. 116 Michael Minasyan (6-3, 6-3).Penn State’S Freshman Class Combined For 40 Singles Wins In Dual Matches, Including 13 By Marcus Schoeman, 11 By Reiya Hattori And 10 By David Lindsay. In Doubles, Hattori And Schoeman Combined To Go 8-5, While Lindsay Paired With Charl Morgan To Collect Seven Wins At No. 1.Lipka Arrived At Penn State After Serving As The Director Of Racquets At The Woodmont Country Club In Rockville, Maryland Since January 2000. A Three-Time Uspta Tour Coach Of The Year And Four-Time Uspta Professional Of The Year, Lipka Achieved Uspta Master Professional Status In 2020. He Was The 2022 Tim Gullickson Tour Coach Of The Year And 2023 Ptr Tour Coach Of The Year. He Currently Coaches The 2023 Us Open Women’S Doubles Champion Duo, Gabriela Dabrowski And Erin Routliffe.In February 2025, Lipka Was Inducted Into The Rspa Mid-Atlantic Hall Of Fame (Formerly Known As The Uspta).As A Player, Lipka Played On The Professional Tennis Tour After College. In Addition To His Current Coaching Duties, Lipka Competes In Top International Events At The Senior Level Including Captaining Both The Usa Champion Avery Cup Team In London In 2023 And A Championship Presidents Cup Team In New Orleans.As A Collegiate Coach, Lipka Led His Teams To Three Conference Championships And Has Worked As A Consultant For Multiple Division I Programs In The Big Ten, Acc, Pac-12, Sec And Ivy League.From 1996-2000, Lipka Was The Director Of Tennis At Woodfield Country Club In Boca Raton, Florida, Coaching Multiple Wta And Atp Tour Players, Including Wimbledon Champion Jana Novotna And Was A Hitting Partner For Venus And Serena Williams.Lipka Served As Men’S Tennis Head Coach At Miami University In Ohio From 1989-96. He Led The Redhawks To Mac Championships In 1994, 1995 And 1996. He Was Named Mac Coach Of The Year In 1992, 1994 And 1995.At Miami, Lipka Mentored 20 All-Mac Selections, Two Mac Players Of The Year, Two Mac Newcomers Of The Year And 23 Academic All-Mac Selections.Lipka Was Men’S Tennis Associate Head Coach And Recruiting Coordinator At Florida From 1988-89. He Recruited Two Ncaa Champions And Three All-Americans In Two Recruiting Classes. He Also Led Fundraising Efforts For The Program.Coach Lipka Is Also A Co-Founder And Board Member Of Tennis Rwanda Children’S Foundation, Using Tennis To Teach Life Lessons In A Mission To Improves The Lives Of A Vulnerable Population.Lipka Earned His Bachelor’S Degree In Education From Tennessee In 1985. He Earned His Master’S Degree In Sport Psychology From Florida In 1990.Bruce And His Wife, Jodi, Live In State College, Pa. Bruce Has Three Children, Jessica, David And Samantha. They Also Have Two Dogs, Reggie And Frankie.What Other Coaches Are Saying…“Bruce Has Inspired Generations Of Players And People To Develop And Grow In Every Area Of The Tennis World. I Have Personally Seen His Work With Players In My Program. His Work On The Professional Tour Has Been Remarkable. Bruce’S Players At Penn State Will Benefit Tremendously, Not Only Form His Expertise, But Mostly From His Passion To Help Them Improve And Live Powerful Lives.” –Howard Endelman, Bidyut K. Goswami Head Coach Of Men’S Tennis And Director Of Tennis Operations At Columbia University. Seven-Time Ivy League Champion And 2024 Ncaa Quarterfinalist.“I’Ve Never Met A More Passionate, Hard-Working, Knowledgeable Tennis Coach Than Bruce Lipka. Bruce Has A Proven Track Record Of Not Only Developing Players But Winning Titles At The Junior, Collegiate And Professional Levels. Penn State Just Hit A Home Run In This Hire Of Coach Lipka And The Program Will Challenge For Big Ten And National Championships In Time.” –David Geatz, 40-Year Coaching Veteran At Minnesota, Cornell And Penn. Six-Time Big Ten Champion.“Bruce Is The Most Motivated, Energetic, Experienced And Knowledgeable Coch I Have Ever Known. He Has Been Incredible In Every Position He Has Ever Held And I Know Penn State Is Going To Be The Same. His Playing And Coaching Has Led To U.S. Open Titles, International And National Championships.” –Peter Smith, Head Coach, Usc Men’S Tennis. Five-Time National Champion.“I Am Excited And Truly Happy For The College Tennis Community That Bruce Lipka Has Returned To Coach At Penn State. As A Friend And Colleague For Over 40 Years, I Have Watched Bruce Develop Juniors Into College Players, College Players Into Pros And Pros Into Grand Slam Champions. He Connects Extremely Well With His Players And He Is Universally Well-Liked And Respected Within The Global Tennis Community.” –Peter Wright, Former Cal Director Of Men’S Tennis And Ireland Davis Cup Coach.“Bruce Lipka Is A Generational Tennis Coach. Knowing Him For 40 Years, I Have Always Been Astounded At His Ability To Get The Absolute Best Out Of Every Player He Works With. Most Recently, I Have Had A Front Row Seat As He Took Some Players From Solid Professionals To Grand Slam Champions. Penn State Has Chosen One Of The Most Extraordinary People I Have Ever Known As The Leader Of Their Program. Any Player With World-Class Aspirations Would Be Smart To Join Them.” –Craig Boynton, Coach Of Top 10 Professionals And Grand Slam Winners, Including Jim Courier, James Blake, John Isner, Sam Querrey And Steve Johnson.",,N/A,0-0,0-0,https://gopsusports.com/sports/mens-tennis/roster/season/2025-26/staff/bruce-lipka,https://app.utrsports.net/profiles/4658389
Michael Andre,Graduate Student,"Las Vegas, Nev.",N/A,0-0,0-0,https://iuhoosiers.com/sports/mens-tennis/roster/michael-andre/20370,https://app.utrsports.net/profiles/4319919
Matteo Antonescu,Skip Ad,"Mountain View, Calif.",N/A,0-0,0-0,https://iuhoosiers.com/sports/mens-tennis/roster/matteo-antonescu/20360,https://app.utrsports.net/profiles/4900777
Aidan Atwood,Skip Ad,"Suwanee, Ga.",N/A,0-0,0-0,https://iuhoosiers.com/sports/mens-tennis/roster/aidan-atwood/20361,https://app.utrsports.net/profiles/244084
Aryan Badlani,Skip Ad,"Roslyn Heights, N.Y.",N/A,0-0,0-0,https://iuhoosiers.com/sports/mens-tennis/roster/aryan-badlani/20381,https://app.utrsports.net/profiles/247294
Luc Boulier,Sr,"Santiago, Chile",N/A,0-0,0-0,https://iuhoosiers.com/sports/mens-tennis/roster/luc-boulier/20373,https://app.utrsports.net/profiles/2547016
Braeden Gelletich,Skip Ad,"Goshen, N.Y.",N/A,0-0,0-0,https://iuhoosiers.com/sports/mens-tennis/roster/braeden-gelletich/20374,https://app.utrsports.net/profiles/253475
Sam Landau,Skip Ad,"Los Angeles, Calif.",N/A,0-0,0-0,https://iuhoosiers.com/sports/mens-tennis/roster/sam-landau/20382,https://app.utrsports.net/profiles/4200933
Ben Pomeranets,Skip Ad,"Cleveland, Ohio",N/A,0-0,0-0,https://iuhoosiers.com/sports/mens-tennis/roster/ben-pomeranets/20364,https://app.utrsports.net/profiles/4681258
Karan Raghavendra,Skip Ad,"Dublin, Calif.",N/A,0-0,0-0,https://iuhoosiers.com/sports/mens-tennis/roster/karan-raghavendra/20376,https://app.utrsports.net/profiles/5185367
Sam Scherer,Skip Ad,"Bradenton, Fla.",N/A,0-0,0-0,https://iuhoosiers.com/sports/mens-tennis/roster/sam-scherer/20377,https://app.utrsports.net/profiles/1784533
Deacon Thomas,Sr,"Houston, Texas",N/A,0-0,0-0,https://iuhoosiers.com/sports/mens-tennis/roster/deacon-thomas/20367,https://app.utrsports.net/profiles/4158313
Jip van Assendelft,Sr,"Nederweert, Netherlands",N/A,0-0,0-0,https://iuhoosiers.com/sports/mens-tennis/roster/jip-van-assendelft/20379,https://app.utrsports.net/profiles/5438889
Facundo Yunis,Redshirt Junior,"Munich, Germany",N/A,0-0,0-0,https://iuhoosiers.com/sports/mens-tennis/roster/facundo-yunis/20369,https://app.utrsports.net/profiles/3151067
David Bakonyi,Fr,"Telki, Pest, Hungary",N/A,0-0,0-0,https://fightingillini.com/sports/mens-tennis/roster/david-bakonyi/15307,https://app.utrsports.net/profiles/938284
Tyler  Bowers,Spent One Year At University High School And Three Years At William And Reed Academy,"Bloomington, Ill.",N/A,0-0,0-0,https://fightingillini.com/sports/mens-tennis/roster/tyler-bowers/15302,https://app.utrsports.net/profiles/4264111
Sasha Colleu,Fr,"Miami, Fla.",N/A,0-0,0-0,https://fightingillini.com/sports/mens-tennis/roster/sasha-colleu/15308,https://app.utrsports.net/profiles/832969
Gabriel Debru,"Chose Illinois Because “I Love The Way The Coaches Train The Players And The Mentality The Team Has. After My Brother Spent Three Years There, I Believe It'S Going To Help Me Grow A Lot — Both As A Person And As A Player. I Am Really Looking Forward To Becoming Part Of The Illinois Men'S Tennis Program.”","Grenoble, France",N/A,0-0,0-0,https://fightingillini.com/sports/mens-tennis/roster/gabriel-debru/15309,https://app.utrsports.net/profiles/4274828
Adam Jilly,Fr,"Budapest, Hungary",N/A,0-0,0-0,https://fightingillini.com/sports/mens-tennis/roster/adam-jilly/15310,https://app.utrsports.net/profiles/5595985
Hayden Jones,Named The 2024 Australian Tennis Junior Male Athlete Of The Year After Being A Finalist In 2022 And 2023,"Gold Coast, Australia",N/A,0-0,0-0,https://fightingillini.com/sports/mens-tennis/roster/hayden-jones/15311,https://app.utrsports.net/profiles/4563327
Kenta  Miyoshi,"Took Part In 12 Fall Matches, Earning A 9-3 Record","Kawasaki, Japan",N/A,0-0,0-0,https://fightingillini.com/sports/mens-tennis/roster/kenta-miyoshi/15303,https://app.utrsports.net/profiles/4649738
William Mroz,Claimed His First Singles Win Of The Year Against Arizona’S Alejandro Arcila (Jan. 9),"Bradenton, Fla.",N/A,0-0,0-0,https://fightingillini.com/sports/mens-tennis/roster/william-mroz/15304,https://app.utrsports.net/profiles/4587231
Zach Viiala,Started The Year At No. 54 In The Preseason Ita Double Rankings With Tyler Bowers (Aug. 26),"Perth, Australia",N/A,0-0,0-0,https://fightingillini.com/sports/mens-tennis/roster/zach-viiala/15305,https://app.utrsports.net/profiles/5733187
Jeremy Zhang,Played J1 Thailand And J1 Malaysia,"Sydney, Australia",N/A,0-0,0-0,https://fightingillini.com/sports/mens-tennis/roster/jeremy-zhang/15306,https://app.utrsports.net/profiles/2631140
Greyson Casey,Skip Ad,"Oro Valley, Arizona",N/A,0-0,0-0,https://nusports.com/sports/mens-tennis/roster/greyson-casey/12742,https://app.utrsports.net/profiles/4915757
Dylan Charlap,Skip Ad,"Palos Verdes Estates, Calif.",N/A,0-0,0-0,https://nusports.com/sports/mens-tennis/roster/dylan-charlap/12748,https://app.utrsports.net/profiles/5621453
Lucas Coriaty,So,"Long Beach, California",N/A,0-0,0-0,https://nusports.com/sports/mens-tennis/roster/lucas-coriaty/12743,https://app.utrsports.net/profiles/2927559
Dylan Fayerman,First-Year,"Acton, Mass.",N/A,0-0,0-0,https://nusports.com/sports/mens-tennis/roster/dylan-fayerman/12749,https://app.utrsports.net/profiles/256626
Jacob Golden,Skip Ad,"Austin, Texas",N/A,0-0,0-0,https://nusports.com/sports/mens-tennis/roster/jacob-golden/12750,https://app.utrsports.net/profiles/3987276
Cooper Han,Skip Ad,"Los Altos, Calif.",N/A,0-0,0-0,https://nusports.com/sports/mens-tennis/roster/cooper-han/12751,https://app.utrsports.net/profiles/791352
Cyrus Mahjoob,Jr,"Rockville, Md.",N/A,0-0,0-0,https://nusports.com/sports/mens-tennis/roster/cyrus-mahjoob/12752,https://app.utrsports.net/profiles/117359
Owen Megargee,Skip Ad,"Washington, D.C.",N/A,0-0,0-0,https://nusports.com/sports/mens-tennis/roster/owen-megargee/12744,https://app.utrsports.net/profiles/2082161
Chad Miller,Skip Ad,"Cincinnati, Ohio",N/A,0-0,0-0,https://nusports.com/sports/mens-tennis/roster/chad-miller/12745,https://app.utrsports.net/profiles/821671
Carter Pate,So,"Charleston, South Carolina",N/A,0-0,0-0,https://nusports.com/sports/mens-tennis/roster/carter-pate/12746,https://app.utrsports.net/profiles/4742642
Ethan Schiffman,Jr,"Rancho Santa Fe, Calif.",N/A,0-0,0-0,https://nusports.com/sports/mens-tennis/roster/ethan-schiffman/12753,https://app.utrsports.net/profiles/1588278
Vincent Yang,Skip Ad,"Kirkland, Washington",N/A,0-0,0-0,https://nusports.com/sports/mens-tennis/roster/vincent-yang/12747,https://app.utrsports.net/profiles/5474171
Geoff Young,"Men'S Tennisjune 29, 2023Young Adds Six To 2023 Recruiting Classafter Completing His First Season As Head Coach, Geoff Young Ushered In Year Two Of His Tenure By Announcing The Addition Of Six New Players In The Class Of 2023-24: Alexander Ekstrand, Aleksa Krivokapic, Soham Purohit, Stefan Simeunovic, Juan David Velasquez And Henrik Villanger.",,N/A,0-0,0-0,https://purduesports.com/sports/mens-tennis/roster/season/2025-26/staff/geoff-young,https://app.utrsports.net/profiles/4236367
Edouard Aubert,N/A,,N/A,0-0,0-0,https://uwbadgers.com/sports/mens-tennis/roster/edouard-aubert/14677,https://app.utrsports.net/profiles/1083911
Collin Beduhn,N/A,,N/A,0-0,0-0,https://uwbadgers.com/sports/mens-tennis/roster/collin-beduhn/14678,https://app.utrsports.net/profiles/3073832
