Player,Year,Hometown,UTR,Singles_Record,Doubles_Record,Profile_URL,UTR_URL,Overall_Record,Conference_Record
David Bakonyi,Fr,"Telki, Pest, Hungary",,0-0,0-0,https://fightingillini.com/sports/mens-tennis/roster/david-bakonyi/15307,https://app.utrsports.net/profiles/938284,0-0,0-0
Tyler  Bowers,Spent One Year At University High School And Three Years At William And Reed Academy,"Bloomington, Ill.",,0-0,0-0,https://fightingillini.com/sports/mens-tennis/roster/tyler-bowers/15302,https://app.utrsports.net/profiles/4264111,0-0,0-0
Sasha Colleu,Fr,"Miami, Fla.",,0-0,0-0,https://fightingillini.com/sports/mens-tennis/roster/sasha-colleu/15308,https://app.utrsports.net/profiles/832969,0-1,0-1
Gabriel Debru,"Chose Illinois Because “I Love The Way The Coaches Train The Players And The Mentality The Team Has. After My Brother Spent Three Years There, I Believe It'S Going To Help Me Grow A Lot — Both As A Person And As A Player. I Am Really Looking Forward To Becoming Part Of The Illinois Men'S Tennis Program.”","Grenoble, France",,0-0,0-0,https://fightingillini.com/sports/mens-tennis/roster/gabriel-debru/15309,https://app.utrsports.net/profiles/4274828,1-0,1-0
Adam Jilly,Fr,"Budapest, Hungary",,0-0,0-0,https://fightingillini.com/sports/mens-tennis/roster/adam-jilly/15310,https://app.utrsports.net/profiles/5595985,1-0,1-0
Hayden Jones,Named The 2024 Australian Tennis Junior Male Athlete Of The Year After Being A Finalist In 2022 And 2023,"Gold Coast, Australia",,0-0,0-0,https://fightingillini.com/sports/mens-tennis/roster/hayden-jones/15311,https://app.utrsports.net/profiles/4563327,0-0,0-0
Kenta  Miyoshi,"Took Part In 12 Fall Matches, Earning A 9-3 Record","Kawasaki, Japan",,0-0,0-0,https://fightingillini.com/sports/mens-tennis/roster/kenta-miyoshi/15303,https://app.utrsports.net/profiles/4649738,0-0,0-0
William Mroz,Claimed His First Singles Win Of The Year Against Arizona’S Alejandro Arcila (Jan. 9),"Bradenton, Fla.",,0-0,0-0,https://fightingillini.com/sports/mens-tennis/roster/william-mroz/15304,https://app.utrsports.net/profiles/4587231,0-0,0-0
Zach Viiala,Started The Year At No. 54 In The Preseason Ita Double Rankings With Tyler Bowers (Aug. 26),"Perth, Australia",,0-0,0-0,https://fightingillini.com/sports/mens-tennis/roster/zach-viiala/15305,https://app.utrsports.net/profiles/5733187,0-0,0-0
Jeremy Zhang,Played J1 Thailand And J1 Malaysia,"Sydney, Australia",,0-0,0-0,https://fightingillini.com/sports/mens-tennis/roster/jeremy-zhang/15306,https://app.utrsports.net/profiles/2631140,0-0,0-0
