Player,Year,Hometown,UTR,Singles_Record,Doubles_Record,Profile_URL,UTR_URL,Overall_Record,Conference_Record
Michael Andre,Graduate Student,"Las Vegas, Nev.",,0-0,0-0,https://iuhoosiers.com/sports/mens-tennis/roster/michael-andre/20370,https://app.utrsports.net/profiles/4319919,0-1,0-1
Matteo Antonescu,Skip Ad,"Mountain View, Calif.",,0-0,0-0,https://iuhoosiers.com/sports/mens-tennis/roster/matteo-antonescu/20360,https://app.utrsports.net/profiles/4900777,0-0,0-0
Aidan Atwood,Skip Ad,"Suwanee, Ga.",,0-0,0-0,https://iuhoosiers.com/sports/mens-tennis/roster/aidan-atwood/20361,https://app.utrsports.net/profiles/244084,1-0,1-0
Aryan Badlani,Skip Ad,"Roslyn Heights, N.Y.",,0-0,0-0,https://iuhoosiers.com/sports/mens-tennis/roster/aryan-badlani/20381,https://app.utrsports.net/profiles/247294,0-0,0-0
Luc Boulier,Sr,"Santiago, Chile",,0-0,0-0,https://iuhoosiers.com/sports/mens-tennis/roster/luc-boulier/20373,https://app.utrsports.net/profiles/2547016,0-0,0-0
Braeden Gelletich,Skip Ad,"Goshen, N.Y.",,0-0,0-0,https://iuhoosiers.com/sports/mens-tennis/roster/braeden-gelletich/20374,https://app.utrsports.net/profiles/253475,0-1,0-1
Sam Landau,Skip Ad,"Los Angeles, Calif.",,0-0,0-0,https://iuhoosiers.com/sports/mens-tennis/roster/sam-landau/20382,https://app.utrsports.net/profiles/4200933,1-0,1-0
Ben Pomeranets,Skip Ad,"Cleveland, Ohio",,0-0,0-0,https://iuhoosiers.com/sports/mens-tennis/roster/ben-pomeranets/20364,https://app.utrsports.net/profiles/4681258,0-0,0-0
Karan Raghavendra,Skip Ad,"Dublin, Calif.",,0-0,0-0,https://iuhoosiers.com/sports/mens-tennis/roster/karan-raghavendra/20376,https://app.utrsports.net/profiles/5185367,0-0,0-0
Sam Scherer,Skip Ad,"Bradenton, Fla.",,0-0,0-0,https://iuhoosiers.com/sports/mens-tennis/roster/sam-scherer/20377,https://app.utrsports.net/profiles/1784533,0-0,0-0
Deacon Thomas,Sr,"Houston, Texas",,0-0,0-0,https://iuhoosiers.com/sports/mens-tennis/roster/deacon-thomas/20367,https://app.utrsports.net/profiles/4158313,0-0,0-0
Jip van Assendelft,Sr,"Nederweert, Netherlands",,0-0,0-0,https://iuhoosiers.com/sports/mens-tennis/roster/jip-van-assendelft/20379,https://app.utrsports.net/profiles/5438889,0-0,0-0
Facundo Yunis,Redshirt Junior,"Munich, Germany",,0-0,0-0,https://iuhoosiers.com/sports/mens-tennis/roster/facundo-yunis/20369,https://app.utrsports.net/profiles/3151067,0-1,0-1
