School,Season,Player,Player_Slug,Year_In_School,Hometown,Profile_URL,UTR_Rating,UTR_URL,Singles_W,Singles_L,Singles_Record,Doubles_W,Doubles_L,Doubles_Record
Penn State Nittany Lions,2025-26,Jaden Brady,jaden-brady,N/A,N/A,https://gopsusports.com/sports/mens-tennis/roster/player/jaden-brady,N/A,https://app.utrsports.net/profiles/5760721,0,0,0-0,0,0,0-0
Penn State Nittany Lions,2025-26,Kyle Chesman,kyle-chesman,N/A,N/A,https://gopsusports.com/sports/mens-tennis/roster/player/kyle-chesman,N/A,https://app.utrsports.net/profiles/3135198,0,0,0-0,0,0,0-0
Penn State Nittany Lions,2025-26,Christos Glavas,christos-glavas,N/A,N/A,https://gopsusports.com/sports/mens-tennis/roster/player/christos-glavas,N/A,https://app.utrsports.net/profiles/1333628,0,0,0-0,0,0,0-0
Penn State Nittany Lions,2025-26,Reiya Hattori,reiya-hattori,N/A,N/A,https://gopsusports.com/sports/mens-tennis/roster/player/reiya-hattori,N/A,https://app.utrsports.net/profiles/5703534,0,0,0-0,0,0,0-0
Penn State Nittany Lions,2025-26,David Lindsay,david-lindsay,N/A,N/A,https://gopsusports.com/sports/mens-tennis/roster/player/david-lindsay,N/A,https://app.utrsports.net/profiles/3131745,0,0,0-0,0,0,0-0
Penn State Nittany Lions,2025-26,Emil Matikainen,emil-matikainen,N/A,N/A,https://gopsusports.com/sports/mens-tennis/roster/player/emil-matikainen,N/A,https://app.utrsports.net/profiles/473289,0,0,0-0,0,0,0-0
Penn State Nittany Lions,2025-26,Marcus Schoeman,marcus-schoeman,N/A,N/A,https://gopsusports.com/sports/mens-tennis/roster/player/marcus-schoeman,N/A,https://app.utrsports.net/profiles/455407,0,0,0-0,0,0,0-0
Penn State Nittany Lions,2025-26,Eyal Shyovitz,eyal-shyovitz,N/A,N/A,https://gopsusports.com/sports/mens-tennis/roster/player/eyal-shyovitz,N/A,https://app.utrsports.net/profiles/4419075,0,0,0-0,0,0,0-0
Penn State Nittany Lions,2025-26,Michael Wright,michael-wright-tennis,N/A,N/A,https://gopsusports.com/sports/mens-tennis/roster/player/michael-wright-tennis,N/A,https://app.utrsports.net/profiles/3396735,0,0,0-0,0,0,0-0
Purdue Boilermakers,2025-26,Mujtaba Ali-Khan,mujtaba-ali-khan,N/A,N/A,https://purduesports.com/sports/mens-tennis/roster/player/mujtaba-ali-khan,N/A,https://app.utrsports.net/profiles/4246173,0,0,0-0,0,0,0-0
