Player,Year,Hometown,UTR,Singles_Record,Doubles_Record,Profile_URL,UTR_URL,Overall_Record,Conference_Record
Greyson Casey,Skip Ad,"Oro Valley, Arizona",,0-0,0-0,https://nusports.com/sports/mens-tennis/roster/greyson-casey/12742,https://app.utrsports.net/profiles/4915757,1-0,1-0
Dylan Charlap,Skip Ad,"Palos Verdes Estates, Calif.",,0-0,0-0,https://nusports.com/sports/mens-tennis/roster/dylan-charlap/12748,https://app.utrsports.net/profiles/5621453,0-0,0-0
Lucas Coriaty,So,"Long Beach, California",,0-0,0-0,https://nusports.com/sports/mens-tennis/roster/lucas-coriaty/12743,https://app.utrsports.net/profiles/2927559,0-0,0-0
Dylan Fayerman,First-Year,"Acton, Mass.",,0-0,0-0,https://nusports.com/sports/mens-tennis/roster/dylan-fayerman/12749,https://app.utrsports.net/profiles/256626,0-0,0-0
Jacob Golden,Skip Ad,"Austin, Texas",,0-0,0-0,https://nusports.com/sports/mens-tennis/roster/jacob-golden/12750,https://app.utrsports.net/profiles/3987276,0-0,0-0
Cooper Han,Skip Ad,"Los Altos, Calif.",,0-0,0-0,https://nusports.com/sports/mens-tennis/roster/cooper-han/12751,https://app.utrsports.net/profiles/791352,1-0,1-0
Cyrus Mahjoob,Jr,"Rockville, Md.",,0-0,0-0,https://nusports.com/sports/mens-tennis/roster/cyrus-mahjoob/12752,https://app.utrsports.net/profiles/117359,0-1,0-1
Owen Megargee,Skip Ad,"Washington, D.C.",,0-0,0-0,https://nusports.com/sports/mens-tennis/roster/owen-megargee/12744,https://app.utrsports.net/profiles/2082161,0-0,0-0
Chad Miller,Skip Ad,"Cincinnati, Ohio",,0-0,0-0,https://nusports.com/sports/mens-tennis/roster/chad-miller/12745,https://app.utrsports.net/profiles/821671,0-1,0-1
Carter Pate,So,"Charleston, South Carolina",,0-0,0-0,https://nusports.com/sports/mens-tennis/roster/carter-pate/12746,https://app.utrsports.net/profiles/4742642,0-0,0-0
Ethan Schiffman,Jr,"Rancho Santa Fe, Calif.",,0-0,0-0,https://nusports.com/sports/mens-tennis/roster/ethan-schiffman/12753,https://app.utrsports.net/profiles/1588278,0-0,0-0
Vincent Yang,Skip Ad,"Kirkland, Washington",,0-0,0-0,https://nusports.com/sports/mens-tennis/roster/vincent-yang/12747,https://app.utrsports.net/profiles/5474171,0-0,0-0
