Player,Year,Hometown,UTR,Singles_Record,Doubles_Record,Profile_URL,UTR_URL,Overall_Record,Conference_Record
Gianluca Ballotta,,,,0-0,0-0,https://uclabruins.com/sports/mens-tennis/roster/gianluca-ballotta/15452,https://app.utrsports.net/profiles/2920230,4-4,3-2
Cassius Chinlund,,,,0-0,0-0,https://uclabruins.com/sports/mens-tennis/roster/cassius-chinlund/15453,https://app.utrsports.net/profiles/5329395,19-4,19-4
Andrei Crabel,,,,0-0,0-0,https://uclabruins.com/sports/mens-tennis/roster/andrei-crabel/15454,https://app.utrsports.net/profiles/4270236,0-2,0-0
Spencer Johnson,,,,0-0,0-0,https://uclabruins.com/sports/mens-tennis/roster/spencer-johnson/15455,https://app.utrsports.net/profiles/2580878,17-11,13-8
Andy Nguyen,,,,0-0,0-0,https://uclabruins.com/sports/mens-tennis/roster/andy-nguyen/15460,https://app.utrsports.net/profiles/5600655,14-12,12-9
Rudy Quan,,,,0-0,0-0,https://uclabruins.com/sports/mens-tennis/roster/rudy-quan/15456,https://app.utrsports.net/profiles/168171,23-5,17-5
Bengt Reinhard,,,,0-0,0-0,https://uclabruins.com/sports/mens-tennis/roster/bengt-reinhard/15461,https://app.utrsports.net/profiles/5691846,0-0,0-0
Aadarsh Tripathi,,,,0-0,0-0,https://uclabruins.com/sports/mens-tennis/roster/aadarsh-tripathi/15457,https://app.utrsports.net/profiles/5581068,13-14,9-10
Emon van Loben Sels,,,,0-0,0-0,https://uclabruins.com/sports/mens-tennis/roster/emon-van-loben-sels/15458,https://app.utrsports.net/profiles/1633823,0-0,0-0
Leo von Bismarck,,,,0-0,0-0,https://uclabruins.com/sports/mens-tennis/roster/leo-von-bismarck/15459,https://app.utrsports.net/profiles/5147930,0-0,0-0
