Player,Year,Hometown,UTR,Singles_Record,Doubles_Record,Profile_URL,UTR_URL,Overall_Record,Conference_Record
Andrin Casanova,,,,0-0,0-0,https://usctrojans.com/sports/mens-tennis/roster/andrin-casanova/18420,https://app.utrsports.net/profiles/5746919,1-1,1-1
Connor Church,,,,0-0,0-0,https://usctrojans.com/sports/mens-tennis/roster/connor-church/17855,https://app.utrsports.net/profiles/4792950,1-0,1-0
Branko Djuric,,,,0-0,0-0,https://usctrojans.com/sports/mens-tennis/roster/branko-djuric/18419,https://app.utrsports.net/profiles/4556725,0-3,0-3
Max Exsted,,,,0-0,0-0,https://usctrojans.com/sports/mens-tennis/roster/max-exsted/18418,https://app.utrsports.net/profiles/4250519,0-0,0-0
Niels Hoffmann,,,,0-0,0-0,https://usctrojans.com/sports/mens-tennis/roster/niels-hoffmann/17856,https://app.utrsports.net/profiles/3131692,1-1,1-1
Jack McCarthy,,,,0-0,0-0,https://usctrojans.com/sports/mens-tennis/roster/jack-mccarthy/17861,https://app.utrsports.net/profiles/232214,0-4,0-3
Matteo Morazzi,,,,0-0,0-0,https://usctrojans.com/sports/mens-tennis/roster/matteo-morazzi/17858,https://app.utrsports.net/profiles/1296450,0-0,0-0
Sklar Phillips,,,,0-0,0-0,https://usctrojans.com/sports/mens-tennis/roster/sklar-phillips/18421,https://app.utrsports.net/profiles/909605,0-0,0-0
Pablo Robledo Hoyos,,,,0-0,0-0,https://usctrojans.com/sports/mens-tennis/roster/pablo-robledo-hoyos/17860,https://app.utrsports.net/profiles/5764318,0-0,0-0
Nathan Trouve,,,,0-0,0-0,https://usctrojans.com/sports/mens-tennis/roster/nathan-trouve/17859,https://app.utrsports.net/profiles/3396050,1-1,1-1
