opponent_school,opponent,score,result,date
University of San Diego,Manvydas Balciunas,6-7(3) 6-3 0-1,UF,05/01/26
,Mathis Bondaz,6-3 6-0,W,04/30/26
Arizona State University - Men,Shu Matsuoka,6-3 6-0,W,04/30/26
Michigan State University,Matthew Forbes,3-6 4-6,L,04/23/26
University of Southern California - Men,Maxwell Exsted,6-1 6-4,W,04/22/26
,Soham Purohit,6-4 6-3,W,04/18/26
University of Oregon - Men,Vlad Cristian Breazu,6-2 6-3,W,04/16/26
University of Illinois,Kenta (2004) Miyoshi,3-6 7-5 1-1,UF,04/10/26
Ohio State University,Preston Stearns,1-6 7-6(7) 1-1,UF,04/03/26
,Bjorn Swenson,3-6 6-2 1-2,UF,03/26/26
University of Nebraska - Men,Nikolay Sysoev,6-2 6-1,W,03/21/26
University of Wisconsin - Men,Patrik Meszaros,7-5 4-6 1-0(12),W,03/19/26
University of Southern California - Men,Nathan Trouve,6-2 4-6 3-6,L,03/12/26
Purdue University,Henrik Villanger,7-6(6) 6-3,W,03/07/26
Indiana University Bloomington - Men,Jip Van Assendelft,6-1 4-6 6-1,W,03/05/26
University of San Diego - Men,Vincent Marysko,3-6 7-6 7-5,W,02/25/26
University of Southern California,Nathan Trouve,7-5 7-5,W,02/20/26
"University of Nevada, Las Vegas",Marko Maksimovic,6-2 6-2,W,02/14/26
Pepperdine University,Maximilian Homberg,6-0 3-6 6-4,W,02/06/26
"University of California, Berkeley - Men",Tiago Silva,6-4 7-5,W,01/31/26
Stanford University,Alexander Chang,7-6 5-5,UF,01/30/26
"University of California, Santa Barbara",Lucca Liu,3-6 4-6,L,01/23/26
University of New Mexico,Dario Alexandru Ciobotaru,6-3 4-1,UF,01/22/26
"University of California, Irvine",Tal Goodman,6-2 6-2,W,01/16/26
,Aadarsh Tripathi,6-2 6-1,W,10/20/25
,Charlie Underwood,6-4 7-5,W,10/20/25
,Jelani Sarr,6-2 5-7 6-4,W,10/20/25
,Filip Gustafsson,6-1 6-4,W,10/20/25
,Aleksa Pisaric,6-4 6-0,W,10/20/25
University of Texas at Austin,Timo Legout,5-7 2-6,L,05/15/25
University of Southern California,Peter Makk,7-6(4) 3-6 3-3,UF,05/08/25
"University of California, Berkeley",Carl Emil Overbeck,7-5 5-7 3-6,L,05/02/25
"University of California, Santa Barbara",Gianluca Brunkow,5-7 6-2 0-1,UF,05/01/25
The Ohio State University,Aidan Kim,6-7(3) 2-6,L,04/26/25
Michigan State University,Aristotelis Thanos,4-6 3-1,UF,04/25/25
University of Michigan,William Cooksey,6-3 5-6,UF,04/24/25
University of Nebraska-Lincoln,Calvin Mueller,3-6 6-3 6-1,W,04/19/25
University of Wisconsin-Madison,Michael Minasyan,6-2 3-6,UF,04/17/25
Michigan State University,Ozan Baris,6-1 6-2,W,04/12/25
University of Michigan,William Cooksey,6-3 6-3,W,04/10/25
Pennsylvania State University,Charl Morgan,6-3 6-3,W,04/05/25
The Ohio State University,Alexander Bernard,6-7(5) 6-0 1-3,UF,04/03/25
Ohio State University,Alexander Bernard,6-7(5) 6-0,UF,04/03/25
University of Southern California,Peter Makk,4-6 4-6,L,03/31/25
University of Washington,César Bouchelaghem,6-4 4-4,UF,03/29/25
University of Oregon,Lenn Luemkemann,6-3 5-3,UF,03/28/25
Northwestern University,Saiprakash Goli,5-7 3-3,UF,03/22/25
University of Illinois at Urbana-Champaign,Kenta (2004) Miyoshi,6-7(5) 1-5,UF,03/20/25
Purdue University,Aleksa Krivokapic,4-6 6-3 1-0(3),W,03/08/25
Indiana University,Deacon Thomas,6-2 6-4,W,03/06/25
University of Southern California,Peter Makk,6-2 6-3,W,02/21/25
Pepperdine University,Edward Winter,6-4 0-6 2-6,L,02/15/25
"University of California, Berkeley",Carl Emil Overbeck,7-6(7) 3-6 4-6,L,01/31/25
University of Georgia,Ryan Colby,6-2 6-3,W,01/25/25
Texas A&M University,Jerry Roddick,3-6 6-2 3-6,L,01/24/25
University of San Diego,Iiro Vasa,6-3 7-6(5),W,01/19/25
"University of California, Irvine",Andy Nguyen,6-4 6-3,W,01/16/25
"University of California, Irvine",Andy Nguyen,6-4 6-3,W,01/16/25
,Aadarsh Tripathi,6-2 6-1,W,10/20/25
