Point,Game,Set,Shot,__source_file__,hit_x,hit_y,bounce_x,bounce_y,bounce_side,opp_hit_x,opp_hit_y
4,1,1,8,AadarshTripathi_AndrinCasanova_2-21-26.xlsx,-9.433585,484.074605,109.34217,-329.87836,Forehand Side,-2.910156,-25.802538
6,2,1,3,AadarshTripathi_AndrinCasanova_2-21-26.xlsx,35.400387,404.804852,117.420884,-261.583625,Forehand Side,-1.114258,1.033059
7,2,1,3,AadarshTripathi_AndrinCasanova_2-21-26.xlsx,60.322261999999995,426.554852,110.387282,-454.980188,Forehand Side,4.976562,1.033059
11,2,1,5,AadarshTripathi_AndrinCasanova_2-21-26.xlsx,63.607411,427.461102,-75.82775,-286.25775300000004,Backhand Side,2.603516,1.970559
11,2,1,9,AadarshTripathi_AndrinCasanova_2-21-26.xlsx,51.967768,462.804852,-44.257683,-351.67253100000005,Backhand Side,3.177734,2.111185
15,3,1,2,AadarshTripathi_AndrinCasanova_2-21-26.xlsx,47.408214,440.601727,-22.833266,-418.048311,Backhand Side,0.897949,-0.420066
17,3,1,2,AadarshTripathi_AndrinCasanova_2-21-26.xlsx,31.350595000000002,466.429852,-118.111403,-262.09225599999996,Backhand Side,1.042969,-0.810691
28,6,1,3,AadarshTripathi_AndrinCasanova_2-21-26.xlsx,38.090833,449.664227,-82.99950799999999,-453.78135699999996,Backhand Side,-3.150391,-1.982566
31,6,1,3,AadarshTripathi_AndrinCasanova_2-21-26.xlsx,44.208006,378.070477,-95.41519100000001,-261.554509,Backhand Side,4.640625,-0.474753
32,7,1,4,AadarshTripathi_AndrinCasanova_2-21-26.xlsx,19.725104,378.070477,112.971182,-502.153705,Forehand Side,0.303711,0.626809
33,7,1,2,AadarshTripathi_AndrinCasanova_2-21-26.xlsx,38.912113,462.804852,24.277524,-313.145828,Forehand Side,0.879395,-0.542167
38,8,2,3,AadarshTripathi_AndrinCasanova_2-21-26.xlsx,143.41796,501.42785,-29.364265,-221.46239500000004,Backhand Side,1.083008,-24.411913
39,8,2,3,AadarshTripathi_AndrinCasanova_2-21-26.xlsx,56.533190000000005,493.224725,117.688445,-391.0777499999999,Forehand Side,-1.46875,-24.880663
41,8,2,3,AadarshTripathi_AndrinCasanova_2-21-26.xlsx,-59.096695,480.793355,-123.16867500000001,-177.58947500000002,Backhand Side,-4.472656,-24.740038
42,8,2,3,AadarshTripathi_AndrinCasanova_2-21-26.xlsx,-1.2934949999999998,488.99648,128.241715,-274.21453499999996,Forehand Side,2.515625,-24.083788
44,9,2,1,AadarshTripathi_AndrinCasanova_2-21-26.xlsx,52.5625,467.789227,-34.236095,-474.8772620000001,Backhand Side,,
46,9,2,2,AadarshTripathi_AndrinCasanova_2-21-26.xlsx,84.847649,453.742352,-16.023167,-399.234097,Backhand Side,0.770508,-0.201316
49,10,2,3,AadarshTripathi_AndrinCasanova_2-21-26.xlsx,49.333988,446.945477,-119.26969199999999,-333.976122,Backhand Side,4.929688,0.978372
52,10,2,3,AadarshTripathi_AndrinCasanova_2-21-26.xlsx,44.632798,434.257977,-9.035907,-448.48372400000005,Backhand Side,-0.516113,1.392434
52,10,2,5,AadarshTripathi_AndrinCasanova_2-21-26.xlsx,85.300774,413.414227,-66.665954,-496.968969,Backhand Side,1.435547,2.087747
52,10,2,7,AadarshTripathi_AndrinCasanova_2-21-26.xlsx,58.339850999999996,412.961102,-117.85254900000001,-261.188529,Backhand Side,3.935547,0.118997
53,10,2,3,AadarshTripathi_AndrinCasanova_2-21-26.xlsx,41.092768,401.179852,99.377693,-368.107527,Forehand Side,2.9375,1.665872
54,10,2,3,AadarshTripathi_AndrinCasanova_2-21-26.xlsx,74.425774,315.086102,-20.744628,-468.87110099999995,Backhand Side,5.023438,1.142434
54,10,2,6,AadarshTripathi_AndrinCasanova_2-21-26.xlsx,17.105476,185.039227,93.857311,-368.346922,Forehand Side,0.715332,-6.642722
56,11,2,8,AadarshTripathi_AndrinCasanova_2-21-26.xlsx,-137.67579,457.27773,38.964835,201.858755,Forehand Side,-3.675781,-23.365038
61,12,2,3,AadarshTripathi_AndrinCasanova_2-21-26.xlsx,-26.35255,490.36365,-136.73201500000002,-401.45990499999994,Backhand Side,-4.75,-26.083788
63,12,2,3,AadarshTripathi_AndrinCasanova_2-21-26.xlsx,26.25,419.123145,-77.55783,-341.597515,Backhand Side,-1.572266,-24.130663
63,12,2,5,AadarshTripathi_AndrinCasanova_2-21-26.xlsx,75.673815,436.896565,-33.03251,-251.84628,Backhand Side,-2.482422,-23.911913
70,13,2,2,AadarshTripathi_AndrinCasanova_2-21-26.xlsx,59.925774000000004,480.023602,43.563365000000005,-476.646726,Forehand Side,0.895996,-0.334128
72,14,3,3,AadarshTripathi_AndrinCasanova_2-21-26.xlsx,59.869136999999995,441.961102,-35.50006,-448.141321,Backhand Side,2.111328,1.876809
72,14,3,7,AadarshTripathi_AndrinCasanova_2-21-26.xlsx,25.544911,468.242352,46.113857,-443.472379,Forehand Side,-1.865234,2.009622
78,15,3,8,AadarshTripathi_AndrinCasanova_2-21-26.xlsx,-95.15625,444.699605,78.728125,-344.22622500000006,Forehand Side,-1.55957,-24.255663
80,15,3,2,AadarshTripathi_AndrinCasanova_2-21-26.xlsx,63.369144999999996,457.95127,-58.30972,-79.46179499999998,Backhand Side,-1.024414,-24.208788
80,15,3,2,AadarshTripathi_AndrinCasanova_2-21-26.xlsx,63.369144999999996,457.95127,-58.30972,-79.46179499999998,Backhand Side,-1.024414,-24.208788
80,15,3,2,AadarshTripathi_AndrinCasanova_2-21-26.xlsx,-115.048815,463.84023,-121.97566499999999,-223.97885999999997,Backhand Side,-1.024414,-24.208788
80,15,3,2,AadarshTripathi_AndrinCasanova_2-21-26.xlsx,-115.048815,463.84023,-121.97566499999999,-223.97885999999997,Backhand Side,-1.024414,-24.208788
81,16,3,3,AadarshTripathi_AndrinCasanova_2-21-26.xlsx,-2.09349,449.074605,-89.49262,-252.53560499999995,Backhand Side,3.921875,-24.615038
81,16,3,7,AadarshTripathi_AndrinCasanova_2-21-26.xlsx,33.32518,462.59969,111.44077,-341.04024499999997,Forehand Side,-2.332031,-25.708788
84,16,3,5,AadarshTripathi_AndrinCasanova_2-21-26.xlsx,33.08592,470.25594,-72.06451,-262.709195,Backhand Side,-2.072266,-25.833788
84,16,3,7,AadarshTripathi_AndrinCasanova_2-21-26.xlsx,8.591905,432.248145,149.433585,-322.22925,Forehand Side,-2.449219,-24.958788
89,17,3,6,AadarshTripathi_AndrinCasanova_2-21-26.xlsx,11.788326000000001,429.273602,-61.775771000000006,-485.149874,Backhand Side,-1.477539,1.298684
91,18,3,3,AadarshTripathi_AndrinCasanova_2-21-26.xlsx,58.679702,410.695477,-77.767676,-344.666305,Backhand Side,-0.344238,-1.920066
92,18,3,3,AadarshTripathi_AndrinCasanova_2-21-26.xlsx,7.519032999999999,443.773602,66.496101,-407.24610099999995,Forehand Side,1.844727,-0.420066
100,20,3,3,AadarshTripathi_AndrinCasanova_2-21-26.xlsx,-3.757635,416.80898,-50.82518,-415.198,Backhand Side,3.613281,-24.208788
101,20,3,5,AadarshTripathi_AndrinCasanova_2-21-26.xlsx,-35.0,548.05898,-1.553195,-415.53252999999995,Backhand Side,-2.306641,-25.740038
102,20,3,3,AadarshTripathi_AndrinCasanova_2-21-26.xlsx,-22.302245,468.21523,-52.173100000000005,-225.31082,Backhand Side,3.583984,-23.818163
103,20,3,3,AadarshTripathi_AndrinCasanova_2-21-26.xlsx,-65.86426,502.12148,-149.49945499999998,-226.68393999999995,Backhand Side,-4.859375,-26.646288
105,20,3,3,AadarshTripathi_AndrinCasanova_2-21-26.xlsx,61.796875,431.154395,-9.061919999999999,-222.95133000000004,Backhand Side,-4.976562,-26.755663
106,20,3,3,AadarshTripathi_AndrinCasanova_2-21-26.xlsx,-51.372055,584.28944,-17.534195,2.0676249999999996,Backhand Side,1.124023,-25.599413
107,21,3,6,AadarshTripathi_AndrinCasanova_2-21-26.xlsx,55.054702,421.117352,86.939564,-426.87736100000006,Forehand Side,2.214844,0.626809
108,21,3,4,AadarshTripathi_AndrinCasanova_2-21-26.xlsx,33.219732,410.695477,-61.68004200000001,-430.76338999999996,Backhand Side,1.882812,0.861184
110,21,3,6,AadarshTripathi_AndrinCasanova_2-21-26.xlsx,70.6875,431.992352,-55.807426,-428.09614400000004,Backhand Side,1.0,0.970559
110,21,3,14,AadarshTripathi_AndrinCasanova_2-21-26.xlsx,73.236339,424.742352,-91.62434,-434.901429,Backhand Side,2.617188,-0.959128
112,22,3,3,AadarshTripathi_AndrinCasanova_2-21-26.xlsx,54.799792,408.429852,-25.368243,-436.42810499999996,Backhand Side,-2.408203,0.072122
113,22,3,5,AadarshTripathi_AndrinCasanova_2-21-26.xlsx,35.088869,425.195477,-40.521526,-471.63123399999995,Backhand Side,-3.306641,0.462747
113,22,3,17,AadarshTripathi_AndrinCasanova_2-21-26.xlsx,43.556637,368.554852,-68.535149,-296.796875,Backhand Side,-1.697266,-3.021628
115,22,3,3,AadarshTripathi_AndrinCasanova_2-21-26.xlsx,12.914048,426.554852,-132.407823,-274.962833,Backhand Side,1.446289,2.56431
117,23,3,8,AadarshTripathi_AndrinCasanova_2-21-26.xlsx,-59.130855000000004,535.344145,-100.97584,-248.067995,Backhand Side,1.042969,-26.021288
119,23,3,2,AadarshTripathi_AndrinCasanova_2-21-26.xlsx,110.60546000000001,420.216895,-37.680405,-201.15532500000003,Backhand Side,-1.008789,-24.724413
121,23,3,2,AadarshTripathi_AndrinCasanova_2-21-26.xlsx,-94.19921000000001,509.504275,61.363015,-217.66906,Forehand Side,-1.080078,-24.724413
126,24,3,3,AadarshTripathi_AndrinCasanova_2-21-26.xlsx,-65.625,486.535525,80.810275,-247.183125,Forehand Side,-1.90332,-25.599413
129,25,3,2,AadarshTripathi_AndrinCasanova_2-21-26.xlsx,89.662113,409.789227,-59.552515,-374.79977,Backhand Side,0.666504,-0.646628
130,25,3,6,AadarshTripathi_AndrinCasanova_2-21-26.xlsx,51.627917,425.648602,88.89280099999999,-323.655167,Forehand Side,2.324219,0.462747
133,25,3,1,AadarshTripathi_AndrinCasanova_2-21-26.xlsx,12.446771,455.554852,-35.485357,-708.234375,Backhand Side,,
2,1,1,4,nguyen_casanova_usc04_031326.xlsx,67.8125,421.584065,-44.057615,-219.41675,Backhand Side,,
2,1,1,6,nguyen_casanova_usc04_031326.xlsx,50.620115,454.396565,72.21711,-226.58506500000004,Forehand Side,,
14,2,1,2,nguyen_casanova_usc04_031326.xlsx,26.408705,441.961102,-81.628591,-393.42444,Backhand Side,,
25,4,1,2,nguyen_casanova_usc04_031326.xlsx,15.363775,453.57627,-79.69545500000001,-409.21601,Backhand Side,,
30,5,1,2,nguyen_casanova_usc04_031326.xlsx,-52.26074,433.762105,105.43305500000001,-333.34472500000004,Forehand Side,,
45,8,1,3,nguyen_casanova_usc04_031326.xlsx,-7.357175,473.137105,-71.30378499999999,-69.05808000000002,Backhand Side,,
49,9,1,4,nguyen_casanova_usc04_031326.xlsx,3.189375,473.810645,102.12891499999999,397.39266,Forehand Side,,
49,9,1,5,nguyen_casanova_usc04_031326.xlsx,-102.12891499999999,491.070895,-70.41016499999999,56.48166999999998,Backhand Side,,
58,11,1,4,nguyen_casanova_usc04_031326.xlsx,20.26317,476.398602,60.596892000000004,-285.67479499999996,Forehand Side,,
60,11,1,2,nguyen_casanova_usc04_031326.xlsx,38.515625,419.757977,-53.358405,-388.551367,Backhand Side,,
65,12,1,3,nguyen_casanova_usc04_031326.xlsx,13.33864,443.185645,66.15861000000001,-297.728235,Forehand Side,,
66,12,1,3,nguyen_casanova_usc04_031326.xlsx,34.230945,418.029395,-94.84181000000001,-191.54401,Backhand Side,,
68,13,2,8,nguyen_casanova_usc04_031326.xlsx,65.38574,459.04502,103.18252,-161.81521999999998,Forehand Side,,
68,13,2,10,nguyen_casanova_usc04_031326.xlsx,4.8620600000000005,471.34969,-123.131085,-224.37121000000005,Backhand Side,,
70,13,2,4,nguyen_casanova_usc04_031326.xlsx,53.83301,455.76377,88.18358500000001,126.45734499999998,Forehand Side,,
71,13,2,2,nguyen_casanova_usc04_031326.xlsx,-118.26171000000001,428.56681000000003,-49.64799,-461.38690500000007,Backhand Side,,
74,14,2,3,nguyen_casanova_usc04_031326.xlsx,33.078125,409.336102,64.63569299999999,-383.836518,Forehand Side,,
78,14,2,3,nguyen_casanova_usc04_031326.xlsx,23.746592,429.726727,109.45423600000001,-429.03713600000003,Forehand Side,,
81,15,2,6,nguyen_casanova_usc04_031326.xlsx,4.510021999999999,446.492352,-32.782354,-432.249147,Backhand Side,,
82,15,2,2,nguyen_casanova_usc04_031326.xlsx,24.114747,446.492352,56.782232,-609.0,Forehand Side,,
85,16,2,3,nguyen_casanova_usc04_031326.xlsx,1.4964250000000001,418.84969,77.500955,-352.8084,Forehand Side,,
87,16,2,3,nguyen_casanova_usc04_031326.xlsx,44.33107,464.240315,108.00524,-261.40121000000005,Forehand Side,,
89,16,2,3,nguyen_casanova_usc04_031326.xlsx,-22.644055,428.56681000000003,-55.097665,-227.25163999999998,Backhand Side,,
91,17,2,1,nguyen_casanova_usc04_031326.xlsx,54.379885,424.04502,158.050375,-224.43074499999994,Forehand Side,,
92,17,2,4,nguyen_casanova_usc04_031326.xlsx,15.389395,456.03719,103.751865,-471.48969,Forehand Side,,
97,18,2,3,nguyen_casanova_usc04_031326.xlsx,5.048088,329.132977,90.484089,-355.654695,Forehand Side,,
102,19,2,2,nguyen_casanova_usc04_031326.xlsx,52.647470000000006,472.773602,57.103001,-411.09915700000005,Forehand Side,,
108,20,2,3,nguyen_casanova_usc04_031326.xlsx,24.66065,482.01377,-25.327154999999998,189.327985,Backhand Side,,
110,21,2,2,nguyen_casanova_usc04_031326.xlsx,106.70898,417.48252,-72.42725,-339.66471000000007,Backhand Side,,
