Point,Game,Set,Shot,__source_file__,hit_x,hit_y,bounce_x,bounce_y,hit_side_zone,ball_direction,depth_label,miss_quality,outcome,Result,vec_x,vec_y,vec_angle_deg,x_deviation,Point Winner,opp_hit_x,opp_hit_y
2,1,1,2,Jack_Anthrop_Bjorn_Swenson.xlsx,-1.854492,-2.761575,1.050489,18.664377,Backhand Corner,Cross Court,Offensive,Neutral,Neutral,In,2.9049810000000003,21.425952000000002,7.721214420728022,1.050489,host,23.175213254581205,867.4179297895781
6,1,1,1,Jack_Anthrop_Bjorn_Swenson.xlsx,-0.494385,-3.650247,0.906363,20.595882,Backhand Corner,Cross Court,Offensive,Neutral,Neutral,In,1.400748,24.246129,3.3064180358240263,0.906363,guest,,
18,3,1,14,Jack_Anthrop_Bjorn_Swenson.xlsx,0.612305,22.927538,-3.15625,5.484348,,Cross Court,Offensive,Neutral,Neutral,In,-3.768555,-17.443189999999998,-167.8087747232971,3.15625,guest,-123.20237314079375,-69.48273184598335
19,3,1,1,Jack_Anthrop_Bjorn_Swenson.xlsx,0.788086,24.349413,-1.325361,2.802644,,Cross Court,Offensive,Neutral,Neutral,In,-2.113447,-21.546768999999998,-174.3979776910597,1.325361,guest,,
33,6,1,5,Jack_Anthrop_Bjorn_Swenson.xlsx,1.433594,26.474413,-1.455078,5.186749,,Cross Court,Offensive,Neutral,Neutral,In,-2.888672,-21.287664,-172.2723358679182,1.455078,guest,14.727482502179619,-59.05388779524508
38,7,1,2,Jack_Anthrop_Bjorn_Swenson.xlsx,1.451172,25.630663,-1.458189,2.827714,,Cross Court,Offensive,Neutral,Neutral,In,-2.9093609999999996,-22.802948999999998,-172.72908377736124,1.458189,guest,-47.32226596672972,-6.00324256342647
60,10,1,3,Jack_Anthrop_Bjorn_Swenson.xlsx,1.525391,23.677538,-2.389885,5.094601,,Cross Court,Offensive,Neutral,Neutral,In,-3.915276,-18.582936999999998,-168.1022526237023,2.389885,guest,-83.05694444440154,-103.460558836342
78,13,1,3,Jack_Anthrop_Bjorn_Swenson.xlsx,-1.338867,-1.035013,3.143719,19.028301,Backhand Corner,Cross Court,Offensive,Neutral,Neutral,In,4.4825859999999995,20.063314,12.594299023016477,3.143719,guest,49.565037182826536,974.4724190721124
89,15,2,2,Jack_Anthrop_Bjorn_Swenson.xlsx,1.047852,26.068163,-1.50693,6.723097,,Cross Court,Defensive,Neutral,Neutral,In,-2.5547820000000003,-19.345066,-172.47683953508104,1.50693,host,-38.94928915133596,31.329401793509625
112,19,2,1,Jack_Anthrop_Bjorn_Swenson.xlsx,2.556641,26.208788,-0.816144,2.935652,,Cross Court,Offensive,Neutral,Neutral,In,-3.372785,-23.273135999999997,-171.75400050961775,0.816144,guest,,
114,19,2,2,Jack_Anthrop_Bjorn_Swenson.xlsx,3.798828,24.786913,-1.171934,6.345137,,Cross Court,Defensive,Neutral,Neutral,In,-4.970762,-18.441775999999997,-164.91509232786873,1.171934,guest,-35.267437664023774,52.261843831994
120,20,2,2,Jack_Anthrop_Bjorn_Swenson.xlsx,-1.217773,-2.401224,2.081256,19.549814,Backhand Corner,Cross Court,Offensive,Neutral,Neutral,In,3.299029,21.951038,8.547034207162415,2.081256,guest,43.95814741904991,940.9805118105375
