Point,Game,Set,Shot,__source_file__,hit_x,hit_y,bounce_x,bounce_y,bounce_side,opp_hit_x,opp_hit_y
2,1,1,3,RudyQuan_NathanTrouve_2-21-26.xlsx,52.329095,442.365315,82.83408,-320.92396,Forehand Side,-4.5,-23.927538
2,1,1,7,RudyQuan_NathanTrouve_2-21-26.xlsx,20.695815,474.35752,85.43027500000001,-235.50597000000002,Forehand Side,2.994141,-25.818163
4,1,1,3,RudyQuan_NathanTrouve_2-21-26.xlsx,69.48732,427.59969,-46.347665,3.7082499999999996,Backhand Side,-3.113281,-23.021288
6,2,1,2,RudyQuan_NathanTrouve_2-21-26.xlsx,101.556637,465.070477,-7.593621,-370.461428,Backhand Side,0.741699,0.180493
6,2,1,4,RudyQuan_NathanTrouve_2-21-26.xlsx,82.695298,458.273602,-121.03422599999999,-312.99264999999997,Backhand Side,1.084961,0.900247
6,2,1,6,RudyQuan_NathanTrouve_2-21-26.xlsx,11.944085,438.336102,104.60871300000001,-316.84022500000003,Forehand Side,4.160156,1.251809
7,2,1,6,RudyQuan_NathanTrouve_2-21-26.xlsx,82.015625,459.179852,-35.556290999999995,-387.96171000000004,Backhand Side,1.050781,1.197122
9,3,1,12,RudyQuan_NathanTrouve_2-21-26.xlsx,2.1877310000000003,334.570477,-34.706069,-439.879656,Backhand Side,-3.162109,1.431497
9,3,1,14,RudyQuan_NathanTrouve_2-21-26.xlsx,63.947261999999995,468.695477,-51.65625,-546.6952980000001,Backhand Side,1.71582,-1.982566
10,3,1,3,RudyQuan_NathanTrouve_2-21-26.xlsx,76.464851,441.961102,-80.057806,-421.418111,Backhand Side,3.291016,-1.131003
11,3,1,11,RudyQuan_NathanTrouve_2-21-26.xlsx,49.050774,445.586102,55.217595,-391.58511500000003,Forehand Side,3.230469,1.845559
12,3,1,3,RudyQuan_NathanTrouve_2-21-26.xlsx,40.129881,455.554852,67.774827,-394.49636699999996,Forehand Side,3.109375,-0.318503
12,3,1,9,RudyQuan_NathanTrouve_2-21-26.xlsx,52.789048,432.445477,110.325425,-308.323621,Forehand Side,-2.140625,0.478372
16,4,1,2,RudyQuan_NathanTrouve_2-21-26.xlsx,-89.55078999999999,439.230855,-37.411255000000004,-332.81139500000006,Backhand Side,-0.716797,-23.115038
18,4,1,2,RudyQuan_NathanTrouve_2-21-26.xlsx,144.785165,471.07627,-18.781735,-242.3855,Backhand Side,-0.76416,-23.958788
23,5,1,3,RudyQuan_NathanTrouve_2-21-26.xlsx,66.82130000000001,434.16219,-82.70045,-346.23294999999996,Backhand Side,-3.089844,-23.552538
23,5,1,7,RudyQuan_NathanTrouve_2-21-26.xlsx,18.764654999999998,419.396565,96.641825,-294.132895,Forehand Side,3.535156,-26.599413
26,6,1,2,RudyQuan_NathanTrouve_2-21-26.xlsx,47.776369,467.336102,67.024684,-387.954083,Forehand Side,0.600586,-0.355872
26,6,1,8,RudyQuan_NathanTrouve_2-21-26.xlsx,76.011726,475.492352,101.697925,-498.52165799999995,Forehand Side,-0.244385,1.033059
28,6,1,4,RudyQuan_NathanTrouve_2-21-26.xlsx,86.150387,501.773602,-86.472171,-382.203818,Backhand Side,1.058594,1.884622
29,6,1,8,RudyQuan_NathanTrouve_2-21-26.xlsx,76.974613,394.836102,97.123987,-475.42286800000005,Forehand Side,-2.519531,0.447122
30,6,1,12,RudyQuan_NathanTrouve_2-21-26.xlsx,34.494137,418.851727,114.19852,-281.188379,Forehand Side,2.6875,-2.43569
33,7,1,3,RudyQuan_NathanTrouve_2-21-26.xlsx,37.581042,435.617352,-112.08850899999999,-303.3951,Backhand Side,2.810547,0.384622
34,7,1,7,RudyQuan_NathanTrouve_2-21-26.xlsx,59.132798,451.023602,-41.545893,-615.796875,Backhand Side,-1.180664,1.970559
35,7,1,3,RudyQuan_NathanTrouve_2-21-26.xlsx,28.476086,448.304852,93.97867600000001,-302.734103,Forehand Side,4.796875,0.118997
39,8,1,2,RudyQuan_NathanTrouve_2-21-26.xlsx,57.524425,508.26377,24.983455,-335.542235,Forehand Side,-0.338867,-23.396288
39,8,1,6,RudyQuan_NathanTrouve_2-21-26.xlsx,41.733405,468.615315,-64.919855,-268.241365,Backhand Side,-1.396484,-25.083788
39,8,1,8,RudyQuan_NathanTrouve_2-21-26.xlsx,83.056645,459.865315,-48.560154999999995,-218.38523000000006,Backhand Side,-2.546875,-25.146288
41,8,1,2,RudyQuan_NathanTrouve_2-21-26.xlsx,124.55078999999999,488.57627,2.5744599999999997,-317.03889000000004,Forehand Side,-0.752441,-23.958788
41,8,1,4,RudyQuan_NathanTrouve_2-21-26.xlsx,52.63671,483.654395,-124.76632,-257.55856000000006,Backhand Side,-0.810059,-22.630663
41,8,1,6,RudyQuan_NathanTrouve_2-21-26.xlsx,95.63477,472.17002,-97.786185,-342.8849900000001,Backhand Side,-3.9375,-25.021288
41,8,1,8,RudyQuan_NathanTrouve_2-21-26.xlsx,-112.17773,480.51993500000003,-111.417565,-200.59830000000005,Backhand Side,-3.273438,-26.271288
42,8,1,6,RudyQuan_NathanTrouve_2-21-26.xlsx,-93.37891499999999,507.316775,58.04316,-324.149525,Forehand Side,2.232422,-25.958788
43,8,1,2,RudyQuan_NathanTrouve_2-21-26.xlsx,122.08983500000001,483.927815,-67.32229,-306.85812500000003,Backhand Side,-0.489502,-23.115038
