Point,Game,Set,Shot,__source_file__,hit_x,hit_y,bounce_x,bounce_y,bounce_side,opp_hit_x,opp_hit_y
11,2,1,3,court1QuanLiu_UCSB_2026-01-25 at 05.32.18.xlsx,36.193363,468.242352,-119.352632,-261.38106,Backhand Side,3.621094,-0.474753
13,3,1,8,court1QuanLiu_UCSB_2026-01-25 at 05.32.18.xlsx,22.57128,459.632977,83.403768,-420.008885,Forehand Side,3.091797,0.931497
15,3,1,4,court1QuanLiu_UCSB_2026-01-25 at 05.32.18.xlsx,51.458006,443.773602,56.958726,-344.204016,Forehand Side,0.961914,-1.084128
19,4,1,3,court1QuanLiu_UCSB_2026-01-25 at 05.32.18.xlsx,24.42139,456.584065,-89.755855,-386.7605,Backhand Side,-0.580566,-24.083788
19,4,1,7,court1QuanLiu_UCSB_2026-01-25 at 05.32.18.xlsx,4.708235,450.021565,-60.91428,-268.21298,Backhand Side,2.605469,-25.536913
21,4,1,3,court1QuanLiu_UCSB_2026-01-25 at 05.32.18.xlsx,25.583495,473.810645,0.560665,-420.96113499999996,Forehand Side,-3.652344,-25.615038
23,4,1,22,court1QuanLiu_UCSB_2026-01-25 at 05.32.18.xlsx,-26.557615000000002,527.824605,-76.398665,-224.35798,Backhand Side,-2.900391,-24.927538
31,6,1,3,court1QuanLiu_UCSB_2026-01-25 at 05.32.18.xlsx,25.318363,455.554852,-83.728278,-512.0764029999999,Backhand Side,4.214844,-0.888816
31,6,1,11,court1QuanLiu_UCSB_2026-01-25 at 05.32.18.xlsx,37.779286,469.601727,-60.474164,-383.47048,Backhand Side,2.626953,0.829934
36,7,1,6,court1QuanLiu_UCSB_2026-01-25 at 05.32.18.xlsx,22.500491,421.117352,-55.432485,-336.098371,Backhand Side,2.566406,1.033059
36,7,1,8,court1QuanLiu_UCSB_2026-01-25 at 05.32.18.xlsx,23.789048,435.617352,23.789048,-771.298848,Forehand Side,2.353516,1.689309
37,7,1,4,court1QuanLiu_UCSB_2026-01-25 at 05.32.18.xlsx,60.775386999999995,486.820477,-78.12246200000001,-345.945263,Backhand Side,3.042969,-0.115378
39,7,1,2,court1QuanLiu_UCSB_2026-01-25 at 05.32.18.xlsx,70.007798,465.976727,-50.900423,-358.74943,Backhand Side,0.002548,-0.10647
39,7,1,12,court1QuanLiu_UCSB_2026-01-25 at 05.32.18.xlsx,5.787965000000001,420.211102,66.978371,-389.59846999999996,Forehand Side,2.896484,1.423684
40,7,1,8,court1QuanLiu_UCSB_2026-01-25 at 05.32.18.xlsx,37.184583,454.648602,91.535803,-367.39444599999996,Forehand Side,2.658203,1.493997
48,9,1,6,court1QuanLiu_UCSB_2026-01-25 at 05.32.18.xlsx,76.83592,456.310645,147.241605,-414.660085,Forehand Side,-3.324219,-26.115038
48,9,1,8,court1QuanLiu_UCSB_2026-01-25 at 05.32.18.xlsx,-47.16796,535.617565,116.56627499999999,-305.42011500000007,Forehand Side,2.882812,-25.677538
50,9,1,2,court1QuanLiu_UCSB_2026-01-25 at 05.32.18.xlsx,80.25391499999999,426.23252,-66.96319,-329.16905,Backhand Side,-0.283447,-22.365038
61,11,2,1,court1QuanLiu_UCSB_2026-01-25 at 05.32.18.xlsx,52.773419999999994,446.466895,36.119895,-307.36335,Forehand Side,,
61,11,2,7,court1QuanLiu_UCSB_2026-01-25 at 05.32.18.xlsx,-28.232435000000002,468.21523,-90.30839999999999,-416.45477999999997,Backhand Side,3.158203,-25.615038
62,11,2,6,court1QuanLiu_UCSB_2026-01-25 at 05.32.18.xlsx,37.460919999999994,453.029395,75.53105000000001,-340.97073500000005,Forehand Side,-2.392578,-24.536913
