Point,Game,Set,Shot,__source_file__,hit_x,hit_y,bounce_x,bounce_y,bounce_side,ball_direction,opp_hit_x,opp_hit_y
19,4,1,2,SpencerJohnson_Berkeley_2_1_25.xlsx,1.652344,24.927538,-2.016189,7.284028,Backhand Side,Cross Court,1.057617,-0.724753
32,6,1,2,SpencerJohnson_Berkeley_2_1_25.xlsx,1.386719,1.876809,2.652533,-23.724886,Forehand Side,Down the Line,-0.811035,-23.927538
48,9,1,2,SpencerJohnson_Berkeley_2_1_25.xlsx,2.142578,0.720559,-1.058594,-18.015625,Backhand Side,Cross Court,-0.817871,-23.958788
56,11,1,2,SpencerJohnson_Berkeley_2_1_25.xlsx,1.423828,23.396288,-2.289062,6.878906,Backhand Side,Cross Court,1.19043,-1.154441
62,13,1,2,SpencerJohnson_Berkeley_2_1_25.xlsx,1.456055,25.318163,-4.067953,0.962261,Backhand Side,Cross Court,1.083008,-0.466941
83,16,2,2,SpencerJohnson_Berkeley_2_1_25.xlsx,2.201172,24.958788,-5.235748,4.753344,Backhand Side,Cross Court,1.00293,-0.335123
93,18,2,2,SpencerJohnson_Berkeley_2_1_25.xlsx,2.990234,0.986184,-1.041992,-6.451279,Backhand Side,Cross Court,-0.168701,-23.616947
95,18,2,6,SpencerJohnson_Berkeley_2_1_25.xlsx,1.520508,2.947122,3.9412,-23.756548,Forehand Side,Down the Line,-0.803711,-18.005663
102,20,2,2,SpencerJohnson_Berkeley_2_1_25.xlsx,2.150391,25.240038,0.364736,4.256,Forehand Side,Down the Line,0.986816,-0.355872
126,24,2,2,SpencerJohnson_Berkeley_2_1_25.xlsx,1.712891,26.927538,1.337891,18.438148,Forehand Side,Down the Line,1.081055,-0.295066
152,28,3,2,SpencerJohnson_Berkeley_2_1_25.xlsx,1.915039,25.505663,-4.14674,0.015625,Backhand Side,Cross Court,1.074219,-0.247223
154,28,3,2,SpencerJohnson_Berkeley_2_1_25.xlsx,1.438477,24.818163,-2.083184,25.216539,Backhand Side,Cross Court,1.115234,-0.787253
165,30,3,2,SpencerJohnson_Berkeley_2_1_25.xlsx,-0.858887,0.584128,1.32383,17.084347,Forehand Side,Cross Court,-1.033203,-24.708788
167,30,3,1,SpencerJohnson_Berkeley_2_1_25.xlsx,2.113281,0.423684,0.76755,-18.400536,Forehand Side,Down the Line,,
1,1,1,3,SpencerJohnson_MSU_4_25_25.xlsx,-1.155273,23.208788,-3.171349,1.934146,Backhand Side,Down the Line,,
5,2,1,2,SpencerJohnson_MSU_4_25_25.xlsx,0.596191,0.802878,-0.749023,18.90625,Backhand Side,Cross Court,,
18,4,1,1,SpencerJohnson_MSU_4_25_25.xlsx,-0.045013,24.130663,1.416992,3.820312,Forehand Side,Cross Court,,
22,4,1,2,SpencerJohnson_MSU_4_25_25.xlsx,-3.048828,22.599413,-0.271078,5.297909,Backhand Side,Down the Line,,
28,6,1,1,SpencerJohnson_MSU_4_25_25.xlsx,-0.632812,1.173684,-2.961181,-24.301096,Backhand Side,Down the Line,,
28,6,1,2,SpencerJohnson_MSU_4_25_25.xlsx,1.297852,1.396628,-1.016282,23.66803,Backhand Side,Cross Court,,
30,6,1,2,SpencerJohnson_MSU_4_25_25.xlsx,-1.526367,1.064309,0.029359,-19.056387,Forehand Side,Cross Court,,
37,8,1,2,SpencerJohnson_MSU_4_25_25.xlsx,-1.133789,24.771288,-0.234158,3.443933,Backhand Side,Down the Line,,
41,8,1,2,SpencerJohnson_MSU_4_25_25.xlsx,-1.935547,24.177538,-2.385458,1.943904,Backhand Side,Down the Line,,
48,10,2,2,SpencerJohnson_MSU_4_25_25.xlsx,1.790039,0.545066,-0.284362,21.689312,Backhand Side,Cross Court,,
51,10,2,1,SpencerJohnson_MSU_4_25_25.xlsx,0.967773,0.888816,-2.355506,17.892906,Backhand Side,Cross Court,,
61,12,2,1,SpencerJohnson_MSU_4_25_25.xlsx,-1.429688,23.708788,1.21313,4.781663,Forehand Side,Cross Court,,
61,12,2,2,SpencerJohnson_MSU_4_25_25.xlsx,-2.458984,23.240038,-2.651961,1.389592,Backhand Side,Down the Line,,
63,12,2,2,SpencerJohnson_MSU_4_25_25.xlsx,-1.731445,24.458788,0.647562,3.800795,Forehand Side,Cross Court,,
