Point,Game,Set,Shot,__source_file__,hit_x,hit_y,bounce_x,bounce_y,hit_side_zone,ball_direction,depth_label,miss_quality,outcome,Result,vec_x,vec_y,vec_angle_deg,x_deviation,Point Winner,opp_hit_x,opp_hit_y
13,3,1,2,StianKlaasen_LSU_10_31_25.xlsx,-2.171875,-1.503274,1.316661,21.449625,Backhand Corner,Cross Court,Offensive,Neutral,Neutral,In,3.488536,22.952899000000002,8.642059279390029,1.316661,guest,,
20,4,1,5,StianKlaasen_LSU_10_31_25.xlsx,1.666992,25.880663,-2.27452,5.178432,,Cross Court,Offensive,Neutral,Neutral,In,-3.941512,-20.702230999999998,-169.220429630176,2.27452,guest,,
34,7,1,2,StianKlaasen_LSU_10_31_25.xlsx,-2.068359,-0.498392,3.726854,17.476542,Backhand Corner,Cross Court,Defensive,Neutral,Neutral,In,5.795213,17.974933999999998,17.869593630359155,3.726854,guest,,
40,8,1,5,StianKlaasen_LSU_10_31_25.xlsx,3.113281,24.661913,-2.207158,6.347009,,Cross Court,Defensive,Neutral,Neutral,In,-5.320439,-18.314904,-163.8015361773309,2.207158,guest,,
55,10,2,3,StianKlaasen_LSU_10_31_25.xlsx,-0.621094,-1.757669,2.780736,19.679989,Backhand Corner,Cross Court,Offensive,Neutral,Neutral,In,3.4018300000000004,21.437658,9.016786188586536,2.780736,host,,
55,10,2,5,StianKlaasen_LSU_10_31_25.xlsx,-2.339844,-1.572122,2.052444,18.259466,Backhand Corner,Cross Court,Defensive,Neutral,Neutral,In,4.392288,19.831588,12.488243025641363,2.052444,host,,
59,11,2,2,StianKlaasen_LSU_10_31_25.xlsx,1.768555,25.599413,0.162964,16.400244,,Down the Line,Missed - Net,Bad Miss,Miss,Net,-1.605591,-9.199168999999998,-170.0995225353118,0.162964,host,,
61,11,2,4,StianKlaasen_LSU_10_31_25.xlsx,1.432617,25.380663,-3.165911,3.852463,,Cross Court,Offensive,Neutral,Neutral,In,-4.598528,-21.5282,-167.94254593493847,3.165911,guest,,
61,11,2,6,StianKlaasen_LSU_10_31_25.xlsx,2.373047,26.052538,2.306178,17.348986,,Down the Line,Missed - Net,Bad Miss,Miss,Net,-0.06686900000000007,-8.703551999999998,-179.55980775454663,2.306178,guest,,
64,11,2,20,StianKlaasen_LSU_10_31_25.xlsx,2.566406,26.083788,-2.398654,3.99351,,Cross Court,Offensive,Neutral,Neutral,In,-4.96506,-22.090277999999998,-167.3325842998145,2.398654,guest,,
64,11,2,22,StianKlaasen_LSU_10_31_25.xlsx,0.95166,24.599413,-2.494141,3.330078,,Cross Court,Offensive,Neutral,Neutral,In,-3.445801,-21.269334999999998,-170.7975839277879,2.494141,guest,,
66,12,2,3,StianKlaasen_LSU_10_31_25.xlsx,3.037109,25.521288,-1.401994,7.203381,,Cross Court,Defensive,Neutral,Neutral,In,-4.439103,-18.317906999999998,-166.3777371170495,1.401994,host,,
85,15,2,2,StianKlaasen_LSU_10_31_25.xlsx,1.824219,24.880663,-1.448469,7.960771,,Cross Court,Defensive,Neutral,Neutral,In,-3.272688,-16.919891999999997,-169.0528892581026,1.448469,host,,
92,17,3,8,StianKlaasen_LSU_10_31_25.xlsx,-1.142578,-2.010599,2.375,18.246008,Backhand Corner,Cross Court,Defensive,Neutral,Neutral,In,3.5175780000000003,20.256607,9.851227428854774,2.375,guest,,
98,18,3,5,StianKlaasen_LSU_10_31_25.xlsx,1.202148,25.365038,2.835938,18.02713,,Down the Line,Missed - Net,Bad Miss,Miss,Net,1.63379,-7.337907999999999,167.44780236318846,2.835938,guest,,
102,18,3,15,StianKlaasen_LSU_10_31_25.xlsx,1.539062,25.177538,-1.133706,6.226896,,Cross Court,Defensive,Neutral,Neutral,In,-2.672768,-18.950642,-171.97204638283708,1.133706,host,,
105,19,3,20,StianKlaasen_LSU_10_31_25.xlsx,1.946289,26.193163,-3.019562,3.91916,,Cross Court,Offensive,Neutral,Neutral,In,-4.965851,-22.274002999999997,-167.43180020649748,3.019562,host,,
110,19,3,4,StianKlaasen_LSU_10_31_25.xlsx,1.384766,25.224413,-2.289856,6.568322,,Cross Court,Defensive,Neutral,Neutral,In,-3.674622,-18.656090999999996,-168.8572951889826,2.289856,host,,
124,22,3,5,StianKlaasen_LSU_10_31_25.xlsx,0.345459,24.818163,-4.069268,6.24361,,Cross Court,Defensive,Neutral,Neutral,In,-4.414727,-18.574552999999998,-166.63023180892188,4.069268,host,,
124,22,3,7,StianKlaasen_LSU_10_31_25.xlsx,3.003906,24.333788,-2.679781,6.819563,,Cross Court,Defensive,Neutral,Neutral,In,-5.683687000000001,-17.514225,-162.02080320790694,2.679781,host,,
124,22,3,9,StianKlaasen_LSU_10_31_25.xlsx,0.84375,24.708788,-3.751062,0.984186,,Cross Court,Offensive,Neutral,Neutral,In,-4.594812,-23.724601999999997,-169.03906214723838,3.751062,host,,
134,24,3,3,StianKlaasen_LSU_10_31_25.xlsx,-0.815918,-2.742044,1.258894,19.891579,Backhand Corner,Cross Court,Offensive,Neutral,Neutral,In,2.074812,22.633623,5.237634783740536,1.258894,guest,,
140,25,3,4,StianKlaasen_LSU_10_31_25.xlsx,-1.697266,-1.132669,2.199387,18.281025,Backhand Corner,Cross Court,Defensive,Neutral,Neutral,In,3.896653,19.413694,11.349412681909723,2.199387,guest,,
142,25,3,14,StianKlaasen_LSU_10_31_25.xlsx,-0.532715,-2.078958,2.480903,21.618334,Backhand Corner,Cross Court,Offensive,Neutral,Neutral,In,3.013618,23.697292,7.2474819338862915,2.480903,guest,,
3,1,1,5,StianKlaasen_Pepperdine_11_2_25.xlsx,2.748047,23.615038,-1.519553,6.594786,,Cross Court,Defensive,Neutral,Neutral,In,-4.2676,-17.020252,-165.9240423154452,1.519553,guest,,
7,1,1,3,StianKlaasen_Pepperdine_11_2_25.xlsx,2.21875,25.958788,-2.170488,6.182141,,Cross Court,Defensive,Neutral,Neutral,In,-4.389238000000001,-19.776646999999997,-167.48657765271375,2.170488,guest,,
13,2,1,2,StianKlaasen_Pepperdine_11_2_25.xlsx,-3.439453,0.653464,0.117636,19.103817,Backhand Corner,Cross Court,Offensive,Neutral,Neutral,In,3.557089,18.450353,10.912309404946672,0.117636,host,,
30,5,1,2,StianKlaasen_Pepperdine_11_2_25.xlsx,-0.18811,2.707175,1.201162,19.009373,Backhand Corner,Cross Court,Offensive,Neutral,Neutral,In,1.389272,16.302198,4.870972756260727,1.201162,guest,,
