opponent_school,opponent,score,result,date
University of Texas at Austin,Sebastian Gorzny,6-3 7-6(2),W,05/15/25
University of Southern California,Nathan Trouve,6-4 5-7 6-3,W,05/08/25
"University of California, Berkeley",Alexander Chang,3-6 7-5 5-5,UF,05/02/25
"University of California, Santa Barbara",Dominique Rolland,4-6 4-4,UF,05/01/25
The Ohio State University,Alexander Bernard,7-6(5) 5-7 6-3,W,04/26/25
Michigan State University,Ozan Baris,7-5 3-2,UF,04/25/25
University of Michigan,Bjorn Swenson,4-6 4-6,L,04/24/25
University of Nebraska-Lincoln,Anton Shepp,6-3 3-6 4-6,L,04/19/25
University of Wisconsin-Madison,Patrik Meszaros,6-4 6-1,W,04/17/25
Michigan State University,Max Sheldon,6-2 6-4,W,04/12/25
University of Michigan,Bjorn Swenson,7-5 5-1,UF,04/10/25
Pennsylvania State University,Sam Bossem,6-1 5-6,UF,04/05/25
Ohio State University,Aidan Kim,7-5 4-6,UF,04/03/25
The Ohio State University,Aidan Kim,7-5 4-5,UF,04/03/25
University of Southern California,Volodymyr Iakubenko,7-6(4) 6-4,W,03/31/25
University of Washington,Dzianis Zharyn,6-3 5-4,UF,03/29/25
University of Oregon,Vlad Cristian Breazu,6-2 6-4,W,03/28/25
Northwestern University,Felix Benjamin Nordby,6-2 6-4,W,03/22/25
University of Illinois at Urbana-Champaign,Jeremy Zhang,6-1 6-4,W,03/20/25
Purdue University,Henrik Villanger,6-2 6-1,W,03/08/25
Indiana University,Benjamin Pomeranets,6-3 6-2,W,03/06/25
University of Southern California,Oscar Weightman,6-2 6-1,W,02/21/25
Pepperdine University,Linus Carlsson Halldin,7-6(7) 4-6 6-7(3),L,02/15/25
Stanford University,Max Basing,3-6 6-4 5-2,UF,02/01/25
"University of California, Berkeley",Theodore Dean,6-4 6-3,W,01/31/25
University of Georgia,Niels Ratiu,6-3 4-6,UF,01/25/25
Texas A&M University,Tiago Pires,6-2 6-3,W,01/24/25
University of San Diego,Stian Klaassen,4-6 7-5 4-6,L,01/19/25
"University of California, Irvine",Rithvik Krishna,7-6(7) 4-5,UF,01/16/25
,Alexander Chang,6-2 7-5,W,11/23/24
,Corey Craig,2-6 2-6,L,11/23/24
,Max Basing,6-2 6-2,W,11/19/24
,Derrick Chen,6-3 3-6 6-4,W,11/19/24
,Alexander Hoogmartens,6-4 6-1 6-2,W,11/19/24
,Maximilian Homberg,2-6 5-7,L,11/19/24
,Alexander Hoogmartens,6-4 6-1 6-2,W,11/19/24
,Noah Zamora,2-6 1-6,L,10/21/24
,Tanner Povey,6-4 6-2,W,10/21/24
,Linus Carlsson Halldin,6-0 6-1,W,10/21/24
,Savriyan Danilov,2-6 6-7(2),L,10/21/24
,Bastiaan Weststrate,6-1 6-3,W,10/21/24
,Karl Lee,6-3 3-6 6-4,W,10/21/24
,Landon Ardila,4-6 4-6,L,09/28/24
,Arthus De La Bassetiere,6-2 7-5,W,09/28/24
,Luka Petrovic,6-3 6-1,W,09/28/24
