opponent_school,opponent,score,result,date
University of Washington,Dzianis Zharyn,6-3 5-4,UF,03/29/25
University of Oregon,Vlad Cristian Breazu,6-2 6-4,W,03/28/25
Northwestern University,Felix Benjamin Nordby,6-2 6-4,W,03/22/25
University of Illinois at Urbana-Champaign,Jeremy Zhang,6-1 6-4,W,03/20/25
Purdue University,Henrik Villanger,6-2 6-1,W,03/08/25
Indiana University,Benjamin Pomeranets,6-3 6-2,W,03/06/25
University of Southern California,Oscar Weightman,6-2 6-1,W,02/21/25
Pepperdine University,Linus Carlsson Halldin,7-6(7) 4-6 6-7(3),L,02/15/25
Stanford University,Max Basing,3-6 6-4 5-2,UF,02/01/25
"University of California, Berkeley",Theodore Dean,6-4 6-3,W,01/31/25
University of Georgia,Niels Ratiu,6-3 4-6,UF,01/25/25
Texas A&M University,Tiago Pires,6-2 6-3,W,01/24/25
University of San Diego,Stian Klaassen,4-6 7-5 4-6,L,01/19/25
"University of California, Irvine",Rithvik Krishna,7-6(7) 4-5,UF,01/16/25
,Alexander Chang,6-2 7-5,W,11/23/24
