Serve State,Stroke,Result,Hit Side,Hit Zone,Hit (x),Hit (y),Bounce (x),Bounce (y),Point Winner,shotContactX,shotContactY,shotLocationX,shotLocationY,return_zone_original,return_zone,return_contact
first,Backhand,guest,far,ad,197.5125328082969,579.8774660976882,24.55672572177209,-254.96665573040195,guest,-197.5125328082969,-579.8774660976882,-24.55672572177209,254.96665573040195,Middle,Middle,deep
first,Backhand,host,near,ad,-135.0890146543484,-480.1881725719304,31.581222659651225,322.4066874451528,host,-135.0890146543484,-480.1881725719304,31.581222659651225,322.4066874451528,Middle,Middle,mid
first,Backhand,host,near,ad,-151.61070647411242,-498.13026574777416,30.121090332442883,244.75120297450178,host,-151.61070647411242,-498.13026574777416,30.121090332442883,244.75120297450178,Middle,Middle,mid
first,Backhand,guest,near,ad,-185.10261373568738,-469.72197069092095,88.21531058613115,381.10154199455377,guest,-185.10261373568738,-469.72197069092095,88.21531058613115,381.10154199455377,Cross Court,Cross Court,mid
first,Forehand,guest,far,ad,52.25633202097038,490.1670002184694,44.791043307063475,-295.86073381437035,guest,-52.25633202097038,-490.1670002184694,-44.791043307063475,295.86073381437035,Middle,Middle,mid
first,Backhand,guest,near,ad,-138.67743328951715,-500.82159886238344,65.08836395447206,265.5156496061621,guest,-138.67743328951715,-500.82159886238344,65.08836395447206,265.5156496061621,Cross Court,Cross Court,mid
first,Backhand,guest,near,ad,-177.92577646534988,-450.58373797002093,-41.52847222220077,188.958125546709,guest,-177.92577646534988,-450.58373797002093,-41.52847222220077,188.958125546709,Middle,Middle,inside
first,Backhand,guest,near,ad,-213.21185476804385,-445.2011100172678,31.686712598408825,243.9078193349571,guest,-213.21185476804385,-445.2011100172678,31.686712598408825,243.9078193349571,Middle,Middle,inside
first,Forehand,host,near,ad,-53.41511373575543,-470.02098643895226,9.96099081364315,225.97988845132681,host,-53.41511373575543,-470.02098643895226,9.96099081364315,225.97988845132681,Middle,Middle,mid
first,Backhand,Out,far,ad,170.00132327200316,479.99981408549127,54.13651027993704,-467.91509186327534,guest,-170.00132327200316,-479.99981408549127,-54.13651027993704,467.91509186327534,Down the Line,Down the Line,mid
first,Backhand,host,far,ad,166.11388888880307,490.7650699909975,139.11018700780215,-330.7347659665833,host,-166.11388888880307,-490.7650699909975,-139.11018700780215,330.7347659665833,Down the Line,Down the Line,mid
first,Backhand,host,far,ad,185.40162948371875,513.4917213470662,-68.6658737969899,-193.0454396324462,host,-185.40162948371875,-513.4917213470662,68.6658737969899,193.0454396324462,Cross Court,Cross Court,deep
first,Backhand,guest,near,ad,-171.1974628170594,-466.1335520557522,105.97815507431096,371.72086067347385,guest,-171.1974628170594,-466.1335520557522,105.97815507431096,371.72086067347385,Cross Court,Cross Court,mid
first,Forehand,host,far,ad,53.45247156602663,464.44999999976,-21.32492891512459,-320.7750382762997,host,-53.45247156602663,-464.44999999976,21.32492891512459,320.7750382762997,Middle,Middle,mid
