Serve State,Stroke,Result,Hit Side,Hit Zone,Hit (x),Hit (y),Bounce (x),Bounce (y),Point Winner,shotContactX,shotContactY,shotLocationX,shotLocationY,return_zone_original,return_zone,return_contact
first,Forehand,host,far,deuce,-55.134569116331974,483.58823272066,57.657485782997334,-391.53823272070764,host,55.134569116331974,-483.58823272066,-57.657485782997334,391.53823272070764,Cross Court,Cross Court,mid
first,Forehand,guest,far,deuce,-109.97008420816717,500.3341863514475,112.1404363516481,-245.78210301824572,guest,109.97008420816717,-500.3341863514475,-112.1404363516481,245.78210301824572,Cross Court,Cross Court,mid
first,Forehand,Net,far,deuce,-144.50862314078273,397.46618547661,-118.64207677159226,14.484771434813165,guest,144.50862314078273,-397.46618547661,118.64207677159226,0.0,Down the Line,Down the Line,inside
first,Backhand,guest,near,deuce,101.07379155725312,-495.1399168851335,37.26646434818722,241.51860236207997,guest,101.07379155725312,-495.1399168851335,37.26646434818722,241.51860236207997,Middle,Middle,mid
first,Backhand,host,near,deuce,81.41224300083283,-487.963079614796,-5.181293744529257,149.3721839456796,host,81.41224300083283,-487.963079614796,-5.181293744529257,149.3721839456796,Middle,Middle,mid
first,Forehand,guest,far,deuce,-140.54639654410937,451.29246500414126,-41.07991032368832,-201.7174321958713,guest,140.54639654410937,-451.29246500414126,41.07991032368832,201.7174321958713,Middle,Middle,inside
first,Forehand,Out,far,deuce,-124.69752843388133,454.2828138667819,221.40516185465376,-459.9282863077239,guest,124.69752843388133,-454.2828138667819,-221.40516185465376,459.9282863077239,Cross Court,Cross Court,inside
first,Backhand,host,near,deuce,77.67431649164841,-467.3296916008085,69.64804790022649,227.84858377066095,host,77.67431649164841,-467.3296916008085,69.64804790022649,227.84858377066095,Down the Line,Down the Line,mid
first,Backhand,host,near,deuce,77.82382436566408,-465.5354822832241,119.25882545925597,242.61055336820368,host,77.82382436566408,-465.5354822832241,119.25882545925597,242.61055336820368,Down the Line,Down the Line,mid
first,Forehand,guest,near,deuce,193.7746062991125,-425.76382327187105,78.04808617668759,89.84156277335691,guest,193.7746062991125,-425.76382327187105,78.04808617668759,89.84156277335691,Down the Line,Down the Line,inside
first,Forehand,Out,far,deuce,-183.00935039360624,429.16388342060065,165.34732611540014,-378.46655183707486,guest,183.00935039360624,-429.16388342060065,-165.34732611540014,378.46655183707486,Cross Court,Cross Court,inside
first,Backhand,Out,near,deuce,101.74661526678908,-464.33934273816783,161.89344925625932,456.7445264652059,guest,101.74661526678908,-464.33934273816783,161.89344925625932,456.7445264652059,Down the Line,Down the Line,mid
first,Forehand,guest,near,deuce,117.81974518804063,-441.9117071301304,-22.03514873139719,250.36877187213668,guest,117.81974518804063,-441.9117071301304,-22.03514873139719,250.36877187213668,Middle,Middle,inside
first,Backhand,guest,far,deuce,-24.203127734020743,535.0222331580787,-37.11695647417155,-345.6272200348171,guest,24.203127734020743,-535.0222331580787,37.11695647417155,345.6272200348171,Middle,Middle,deep
