Serve State,Stroke,Result,Hit Side,Hit Zone,Hit (x),Hit (y),Bounce (x),Bounce (y),Point Winner,shotContactX,shotContactY,shotLocationX,shotLocationY,return_zone_original,return_zone,return_contact
second,Forehand,host,far,deuce,-84.77639982497807,479.99981408549127,97.0921970690662,-244.71166338570035,host,84.77639982497807,-479.99981408549127,-97.0921970690662,244.71166338570035,Cross Court,Cross Court,mid
second,Forehand,guest,near,deuce,87.46769466312193,-447.29433508288355,99.21803368323833,296.14386482924334,guest,87.46769466312193,-447.29433508288355,99.21803368323833,296.14386482924334,Down the Line,Down the Line,inside
second,Forehand,guest,far,deuce,-144.43386920377492,512.29558180201,77.69020122480676,-448.9137740592606,guest,144.43386920377492,-512.29558180201,-77.69020122480676,448.9137740592606,Cross Court,Cross Court,mid
second,Forehand,host,near,deuce,58.90985345578759,-366.25590004355536,-119.76346237964067,262.683727033985,host,58.90985345578759,-366.25590004355536,-119.76346237964067,262.683727033985,Cross Court,Cross Court,inside
second,Forehand,host,near,deuce,131.50059601917965,-436.23006342934593,-19.07021544180992,356.5632272526592,host,131.50059601917965,-436.23006342934593,-19.07021544180992,356.5632272526592,Middle,Middle,inside
second,Forehand,Net,far,deuce,-53.22820975500312,472.22490704262566,165.9643810147874,12.092492344700664,guest,53.22820975500312,-472.22490704262566,-165.9643810147874,0.0,Cross Court,Cross Court,mid
second,Forehand,guest,far,deuce,-123.42663495181725,502.72646544156,-78.23908573924219,-299.7527613734234,guest,123.42663495181725,-502.72646544156,78.23908573924219,299.7527613734234,Down the Line,Down the Line,mid
second,Forehand,guest,near,deuce,54.72340332455616,-480.1881725719304,-27.41260936131567,438.0848261152592,guest,54.72340332455616,-480.1881725719304,-27.41260936131567,438.0848261152592,Middle,Middle,mid
second,Forehand,Out,far,deuce,-52.74229002621948,477.6075349953788,35.44549978125903,-458.0102526244353,guest,52.74229002621948,-477.6075349953788,-35.44549978125903,458.0102526244353,Middle,Middle,mid
second,Forehand,host,near,deuce,123.57618110229836,-434.13680008726476,-33.17099737531095,383.3419783462587,host,123.57618110229836,-434.13680008726476,-33.17099737531095,383.3419783462587,Middle,Middle,inside
second,Forehand,host,near,deuce,88.06576443565005,-394.0661253278804,98.77532808393848,325.2768482063062,host,88.06576443565005,-394.0661253278804,98.77532808393848,325.2768482063062,Down the Line,Down the Line,inside
second,Forehand,host,near,deuce,82.15982064737663,-422.7734744092304,-15.260137795267706,193.30763342072254,host,82.15982064737663,-422.7734744092304,-15.260137795267706,193.30763342072254,Middle,Middle,inside
second,Forehand,guest,near,deuce,44.40667104109692,-443.10784667518664,-63.99346566050937,271.0567038493788,guest,44.40667104109692,-443.10784667518664,-63.99346566050937,271.0567038493788,Cross Court,Cross Court,inside
second,Forehand,guest,far,deuce,-79.09471784772818,451.29246500414126,39.63631342955083,-248.86703302699303,guest,79.09471784772818,-451.29246500414126,-39.63631342955083,248.86703302699303,Middle,Middle,inside
second,Forehand,host,far,deuce,-92.99986876635616,445.31176727886003,44.851558398926954,-309.09279308820425,host,92.99986876635616,-445.31176727886003,-44.851558398926954,309.09279308820425,Middle,Middle,inside
second,Backhand,host,near,deuce,112.4371172352875,-405.7285050304116,89.0376421696828,342.2270067802257,host,112.4371172352875,-405.7285050304116,89.0376421696828,342.2270067802257,Down the Line,Down the Line,inside
second,Forehand,host,near,deuce,74.8708716097601,-432.94066054220855,-25.885225284326086,201.68061023611628,host,74.8708716097601,-432.94066054220855,-25.885225284326086,201.68061023611628,Middle,Middle,inside
second,Forehand,host,far,deuce,-28.277504374438585,438.13493000852253,-39.4656003936804,-190.8190890200239,host,28.277504374438585,-438.13493000852253,39.4656003936804,190.8190890200239,Middle,Middle,inside
second,Forehand,guest,near,deuce,81.1132272528015,-415.8956911633897,-40.595483377056894,293.07271434805506,guest,81.1132272528015,-415.8956911633897,-40.595483377056894,293.07271434805506,Middle,Middle,inside
second,Forehand,guest,far,deuce,-45.26639873138519,460.26351159206314,-15.362910104978939,-354.75585083096286,guest,45.26639873138519,-460.26351159206314,15.362910104978939,354.75585083096286,Middle,Middle,mid
second,Backhand,guest,far,deuce,-52.1883147418803,489.59549431295795,-37.275995188082234,-175.74195100603345,guest,52.1883147418803,-489.59549431295795,37.275995188082234,175.74195100603345,Middle,Middle,mid
second,Forehand,guest,far,deuce,-107.15840988620886,515.2915573050707,78.38281386697614,-355.7183508309623,guest,107.15840988620886,-515.2915573050707,-78.38281386697614,355.7183508309623,Cross Court,Cross Court,deep
second,Backhand,guest,near,deuce,12.331337489057496,-411.5851104547305,-34.50175524932601,368.18939741888244,guest,12.331337489057496,-411.5851104547305,-34.50175524932601,368.18939741888244,Middle,Middle,inside
second,Forehand,host,near,deuce,179.20306211714276,-400.3011701660224,-28.612193788261685,427.93394575655935,host,179.20306211714276,-400.3011701660224,-28.612193788261685,427.93394575655935,Middle,Middle,inside
second,Forehand,guest,near,deuce,5.084875328081362,-506.6432195972886,40.83991688536823,249.07150590538313,guest,5.084875328081362,-506.6432195972886,40.83991688536823,249.07150590538313,Middle,Middle,mid
second,Forehand,guest,near,deuce,115.16113845138408,-397.8331036743352,-10.971259842514018,331.9847604985161,guest,115.16113845138408,-397.8331036743352,-10.971259842514018,331.9847604985161,Middle,Middle,inside
second,Backhand,Out,far,deuce,-53.45094050740896,511.39612314059326,228.68894356943568,-107.4428805773723,host,53.45094050740896,-511.39612314059326,-228.68894356943568,107.4428805773723,Cross Court,Cross Court,mid
second,Backhand,host,near,deuce,30.52123250217146,-395.4005194661124,52.362128171451516,320.0124179788373,host,30.52123250217146,-395.4005194661124,52.362128171451516,320.0124179788373,Middle,Middle,inside
second,Forehand,host,near,deuce,138.0896598861929,-414.20471347310183,-12.666601049862223,279.4718613296894,host,138.0896598861929,-414.20471347310183,-12.666601049862223,279.4718613296894,Middle,Middle,inside
second,Forehand,Net,far,deuce,-149.4318952317688,443.7506616358162,-42.830675852996244,10.39745734907602,guest,149.4318952317688,-443.7506616358162,42.830675852996244,0.0,Middle,Middle,inside
second,Backhand,host,far,deuce,-62.91031824143732,518.691234689146,-141.48294510053935,-116.08551509180353,host,62.91031824143732,-518.691234689146,141.48294510053935,116.08551509180353,Down the Line,Down the Line,deep
second,Forehand,guest,near,deuce,194.08445428686386,-443.37643263319177,17.469914698153705,353.36197506543425,guest,194.08445428686386,-443.37643263319177,17.469914698153705,353.36197506543425,Middle,Middle,inside
second,Backhand,host,far,deuce,-49.293121172327986,433.34394138210337,-16.958464566920373,-267.685657261454,host,49.293121172327986,-433.34394138210337,16.958464566920373,267.685657261454,Middle,Middle,inside
second,Backhand,Out,far,deuce,-27.924021216083563,499.54262904611113,236.78962160967646,-364.40301290444864,host,27.924021216083563,-499.54262904611113,-236.78962160967646,364.40301290444864,Cross Court,Cross Court,mid
second,Backhand,guest,near,deuce,36.51662839018236,-402.646407480107,18.826356080480213,326.52079505669917,guest,36.51662839018236,-402.646407480107,18.826356080480213,326.52079505669917,Middle,Middle,inside
second,Forehand,guest,far,deuce,-127.5383694225063,454.88088363931,-81.57208552051779,-303.08683289573145,guest,127.5383694225063,-454.88088363931,81.57208552051779,303.08683289573145,Down the Line,Down the Line,inside
second,Backhand,guest,far,deuce,-78.04808617668759,456.6750929568944,-15.053865923001847,-323.22235892371754,guest,78.04808617668759,-456.6750929568944,15.053865923001847,323.22235892371754,Middle,Middle,mid
second,Backhand,Net,far,deuce,-98.45725065611711,446.50790682391624,15.708661417314719,20.465469160094415,host,98.45725065611711,-446.50790682391624,-15.708661417314719,0.0,Middle,Middle,inside
second,Forehand,guest,near,deuce,121.10910979871258,-436.23006342934593,91.55952537178122,371.2560312771485,guest,121.10910979871258,-436.23006342934593,91.55952537178122,371.2560312771485,Down the Line,Down the Line,inside
